MD,MFOA,MFOP,RPMA,WOBA,MFIA,MDIA,MDOA,HKLA,TQA,SPPA,ROPA
250.1,0.2,0.0,0.0,59.735,0.0,1.07,1.07,49.02,0.0,1.915,0.1
250.2,0.2,0.0,0.0,59.675,0.0,1.07,1.07,49.085,0.0,1.915,0.1
250.3,0.2,0.0,0.0,59.665,0.0,1.07,1.07,49.095,0.0,1.915,13.150000000000002
250.4,0.2,0.0,0.0,59.665,0.0,1.07,1.07,49.095,0.0,1.92,26.200000000000003
250.5,0.2,0.0,0.0,59.69,0.0,1.07,1.07,49.07,0.0,1.92,27.599999999999998
250.6,0.2,0.0,0.0,59.7,0.0,1.07,1.07,49.06,0.0,1.91,27.599999999999998
250.7,0.2,0.0,0.0,59.71,0.0,1.07,1.07,49.05,0.0,1.9,27.599999999999998
250.8,0.205,0.0,0.0,59.705,0.0,1.07,1.07,49.05,0.0,1.87,32.65
251.0,0.21,0.0,0.0,59.7,0.0,1.07,1.07,49.05,0.0,1.84,37.7
251.1,0.205,0.0,0.0,59.715,0.0,1.07,1.07,49.035,0.0,1.935,0.8
251.3,0.205,0.0,0.0,59.72,0.0,1.07,1.07,49.04,0.0,1.93,17.35
251.4,0.2,0.0,0.0,59.52,0.0,1.07,1.07,49.235,0.0,1.94,34.2
253.3,0.205,0.0,0.0,59.535,0.0,1.07,1.07,49.225,0.0,1.94,50.75
253.4,0.2,0.0,0.0,59.35,0.0,1.07,1.07,49.41,0.0,1.93,50.35
253.5,0.205,0.0,0.0,59.36,0.0,1.07,1.07,49.395,0.0,1.925,50.35
253.6,0.205,0.0,0.0,59.375,0.0,1.07,1.07,49.385000000000005,0.0,1.925,50.35
253.7,0.21,0.0,0.0,59.38,0.0,1.07,1.07,49.38,0.0,1.92,67.6
253.9,0.21,0.0,0.0,59.385000000000005,0.0,1.07,1.07,49.370000000000005,0.0,1.925,67.8
254.0,0.205,0.0,0.0,59.395,0.0,1.07,1.07,49.365,0.0,1.925,67.8
254.1,0.205,0.0,0.0,59.4,0.0,1.07,1.07,49.35,0.0,1.93,67.8
254.4,0.2,0.0,0.0,59.445,0.0,1.07,1.07,49.315,0.0,1.945,84.7
254.5,0.2,0.0,0.0,59.625,0.0,1.07,1.07,49.135000000000005,0.0,1.945,57.599999999999994
254.6,0.2,0.0,0.0,59.505,0.0,1.07,1.07,49.255,0.0,1.92,36.1
255.3,0.2,0.0,0.0,59.31,0.0,1.07,1.07,49.45,0.0,1.92,58.4
255.4,0.2,0.0,0.0,59.36,0.0,1.07,1.07,49.400000000000006,0.0,1.935,58.4
255.5,0.2,0.0,0.0,59.415,0.0,1.07,1.07,49.345,0.0,1.94,49.95
255.6,0.2,0.0,0.0,59.425,0.0,1.07,1.07,49.335,0.0,1.935,49.95
255.7,0.2,0.0,0.0,59.44,0.0,1.07,1.07,49.315,0.0,1.93,48.5
255.8,0.2,0.0,0.0,59.435,0.0,1.07,1.07,49.325,0.0,1.92,48.5
255.9,0.2,0.0,0.0,59.42,0.0,1.07,1.07,49.33,0.0,1.915,54.65
256.0,0.205,0.0,0.0,59.44,0.0,1.07,1.07,49.32,0.0,1.935,56.050000000000004
256.7,0.205,0.0,0.0,59.44,0.0,1.07,1.07,49.31,0.0,1.94,52.55
256.8,0.205,0.0,0.0,59.905,0.0,1.07,1.07,49.225,0.0,1.935,32.8
257.4,0.2,0.0,0.0,60.305,0.0,1.07,1.07,49.195,0.0,1.92,9.0
257.5,6.4750000000000005,6.0,24.0,30.265,1630.81,1.07,1.07,59.855,0.0,35.09,18.6
257.6,13.14,13.0,48.0,1.07,3260.59,1.07,1.07,69.67,0.0,68.23,10.4
257.7,12.06,12.0,47.0,0.05,3260.42,1.07,1.07,71.71,0.0,66.85,5.5
257.8,11.695,11.0,47.0,0.21,3260.94,1.07,1.07,71.53999999999999,0.0,66.685,5.5
257.9,11.94,11.5,47.0,0.075,3260.7650000000003,1.07,1.07,71.675,0.0,66.91499999999999,3.4000000000000004
258.0,11.76,11.0,47.0,0.16,3260.77,1.07,1.07,71.59,0.0,67.19,3.4000000000000004
258.1,11.64,11.0,47.0,0.1,3261.11,1.07,1.07,71.65,0.0,67.64,9.5
258.2,11.735,11.0,47.0,0.39,3260.59,1.07,1.07,71.36,0.0,69.87,9.5
258.3,11.86,11.0,47.0,0.5,3261.45,1.07,1.07,71.25,0.0,72.53,10.3
258.4,12.375,12.0,47.0,0.565,3260.8500000000004,1.07,1.07,71.185,0.0,72.41499999999999,10.3
258.5,12.895,12.0,47.0,0.285,3261.71,1.07,1.07,71.47,0.0,70.595,9.3
258.6,12.94,12.0,47.0,0.01,3261.45,1.07,1.07,71.77,0.0,70.18,9.3
258.7,11.54,11.0,47.0,0.05,3261.28,1.07,1.07,71.705,0.0,70.225,8.2
258.8,10.445,10.0,47.0,0.73,3260.6800000000003,1.07,1.07,71.02,0.0,69.57499999999999,8.2
259.0,11.04,11.0,47.0,1.16,3261.79,1.07,1.07,70.59,0.0,68.57,8.2
259.1,12.68,12.0,47.0,0.265,3261.195,1.07,1.07,71.485,0.0,68.54,3.2
259.2,13.625,13.0,47.0,0.245,3261.11,1.07,1.07,71.505,0.0,69.46000000000001,3.2
259.3,13.53,13.0,47.0,0.315,3260.9350000000004,1.07,1.07,71.44,0.0,69.58500000000001,10.9
259.4,13.43,13.0,47.0,0.3,3260.42,1.07,1.07,71.46,0.0,69.71,10.9
259.5,13.385,13.0,47.0,0.19,3260.505,1.07,1.07,71.565,0.0,70.29499999999999,13.0
259.6,12.875,12.5,47.0,0.225,3260.9350000000004,1.07,1.07,71.53,0.0,69.745,13.0
259.7,12.34,12.0,47.0,0.29,3261.45,1.07,1.07,71.46,0.0,70.05,9.6
259.8,12.39,12.0,47.0,0.38,3260.505,1.07,1.07,71.37,0.0,72.46,9.6
259.9,12.33,12.0,47.0,0.45,3260.59,1.07,1.07,71.3,0.0,73.84,10.8
260.0,12.165,12.0,47.5,0.63,3261.45,1.07,1.07,71.12,0.0,71.425,12.15
260.1,12.125,12.0,47.0,0.6799999999999999,3261.96,1.07,1.07,71.07499999999999,0.0,70.555,13.5
260.2,12.21,12.0,47.0,0.65,3260.76,1.07,1.07,71.11,0.0,70.26,13.5
260.3,12.26,12.0,47.0,0.29,3260.76,1.07,1.07,71.46,0.0,70.2,9.6
260.4,12.02,12.0,47.0,0.21,3260.42,1.07,1.07,71.54,0.0,70.49,9.6
260.5,12.02,11.5,47.0,0.1699999999999999,3260.7650000000003,1.07,1.07,71.58,0.0,70.47,11.6
260.6,12.53,12.0,47.0,0.18,3260.42,1.07,1.07,71.57,0.0,70.67,11.6
260.7,12.6,12.0,47.0,0.56,3260.42,1.07,1.07,71.19,0.0,72.95,10.8
260.8,12.57,12.0,47.0,1.21,3260.505,1.07,1.07,70.53999999999999,0.0,77.535,10.0
260.9,12.345,12.0,47.0,1.1,3260.7650000000003,1.07,1.07,70.655,0.0,75.745,12.1
261.0,12.52,12.0,47.0,0.95,3260.77,1.07,1.07,70.8,0.0,73.93,12.1
261.1,12.495,12.0,47.0,1.09,3260.675,1.07,1.07,70.66,0.0,74.42500000000001,10.9
261.2,12.385000000000002,12.0,47.0,0.99,3260.505,1.07,1.07,70.75999999999999,0.0,74.61,10.9
261.3,12.47,12.0,47.0,0.65,3261.11,1.07,1.07,71.11,0.0,72.89,12.2
261.4,12.62,12.0,47.0,0.88,3261.79,1.07,1.07,70.87,0.0,72.27,12.2
261.5,12.61,12.0,47.0,0.925,3261.62,1.07,1.07,70.82499999999999,0.0,72.205,11.7
261.6,12.66,12.0,47.0,0.91,3261.28,1.07,1.07,70.84,0.0,71.93,11.7
261.7,12.715,12.0,47.0,0.785,3261.28,1.07,1.07,70.965,0.0,70.82,12.7
261.8,12.56,12.0,47.0,0.38,3260.76,1.07,1.07,71.37,0.0,70.27,13.700000000000001
261.9,12.44,12.0,47.0,0.845,3260.505,1.07,1.07,70.91,0.0,73.65,9.5
262.0,11.67,11.0,47.0,0.77,3260.59,1.07,1.07,70.98,0.0,74.9,9.5
262.1,11.54,11.0,47.0,0.75,3260.94,1.07,1.07,71.01,0.0,74.35,10.0
262.2,11.835,11.0,47.0,0.51,3261.535,1.07,1.07,71.24000000000001,0.0,71.00999999999999,10.0
262.3,11.985,11.0,47.0,0.3349999999999999,3261.45,1.07,1.07,71.42,0.0,69.61500000000001,11.05
262.4,11.49,11.0,47.0,0.01,3260.59,1.07,1.07,71.82,0.0,68.68,12.1
