MD,MFOA,MFOP,RPMA,WOBA,MFIA,MDIA,MDOA,HKLA,TQA,SPPA,ROPA
186.1,4.72,4.0,69.0,1.75,4943.155,1.05,1.22,59.305,0.0,6.84,6.0
186.2,4.720000000000001,4.0,69.0,1.585,4943.585,1.05,1.22,59.475,0.0,6.845,5.300000000000001
186.3,4.72,4.0,69.0,1.705,4943.415,1.05,1.22,59.355,0.0,6.84,4.6000000000000005
186.4,4.72,4.0,69.0,1.51,4943.07,1.05,1.22,59.55,0.0,6.86,4.6000000000000005
186.5,4.7,4.0,69.0,1.67,4943.59,1.05,1.22,59.39,0.0,6.84,2.5
186.6,4.68,4.0,69.0,1.7,4943.41,1.05,1.22,59.36,0.0,6.83,2.5
186.7,4.73,4.0,69.0,1.72,4943.76,1.05,1.22,59.34,0.0,6.82,1.5
186.8,4.72,4.0,69.0,1.79,4943.76,1.05,1.22,59.26,0.0,6.8,1.5
186.9,4.72,4.0,69.0,1.71,4943.93,1.05,1.22,59.35,0.0,6.8,1.2
187.0,4.72,4.0,69.0,1.92,4943.59,1.05,1.22,59.14,0.0,6.81,1.2
187.1,4.72,4.0,69.0,2.46,4943.76,1.05,1.22,58.59,0.0,6.78,0.8
187.2,4.725,4.0,69.0,2.615,4943.325,1.05,1.22,58.445,0.0,6.78,0.8
187.3,4.72,4.0,69.0,2.355,4943.24,1.05,1.22,58.695,0.0,6.775,1.5
187.4,4.715,4.0,69.0,1.36,4943.5,1.05,1.22,59.7,0.0,6.785,1.5
187.5,4.715,4.0,69.0,0.6900000000000001,4943.33,1.05,1.22,60.395,0.0,6.795,1.85
187.6,4.72,4.0,69.0,0.445,4943.33,1.05,1.22,60.825,0.0,6.79,2.2
187.7,4.72,4.0,69.0,0.01,4943.33,1.05,1.22,61.27,0.0,6.79,5.15
187.8,4.725,4.0,69.0,0.01,4943.33,1.05,1.22,61.28,0.0,6.78,9.350000000000001
187.9,4.71,4.0,69.0,0.01,4943.325,1.05,1.22,61.14,0.0,6.775,9.350000000000001
188.0,4.720000000000001,4.0,69.0,0.01,4943.33,1.05,1.22,61.155,0.0,6.785,10.600000000000001
188.1,4.715,4.0,69.0,0.01,4943.155,1.05,1.22,61.075,0.0,6.785,10.35
188.2,4.72,4.0,69.0,0.19,4943.415,1.05,1.22,60.865,0.0,6.79,9.8
188.3,4.72,4.0,69.0,0.415,4943.5,1.05,1.22,60.645,0.0,6.79,9.8
188.4,4.72,4.0,69.0,0.49,4943.585,1.05,1.22,60.57,0.0,6.785,11.25
188.5,4.715,4.0,69.0,0.56,4943.33,1.05,1.22,60.5,0.0,6.779999999999999,11.25
188.6,4.72,4.0,69.0,0.645,4943.325,1.05,1.22,60.415000000000006,0.0,6.785,13.0
188.7,4.72,4.0,69.0,0.385,4943.155,1.05,1.22,60.67,0.0,6.785,10.5
188.8,4.715,4.0,69.5,0.355,4943.24,1.05,1.22,60.7,0.0,6.785,7.4
188.9,4.725,4.0,69.5,0.405,4943.24,1.05,1.22,60.655,0.0,6.79,6.800000000000001
189.0,4.73,4.0,69.0,0.4,4943.155,1.05,1.22,60.66,0.0,6.785,6.65
189.1,4.715,4.0,69.0,0.31,4943.155,1.05,1.22,60.785,0.0,6.78,6.5
189.2,4.71,4.0,69.0,0.01,4943.07,1.05,1.22,61.44,0.0,6.79,6.5
189.4,4.75,4.0,69.0,0.01,4943.5,1.05,1.22,61.405,0.0,6.795,8.5
189.5,4.715,4.0,69.0,0.01,4943.24,1.05,1.22,61.47,0.0,6.795,8.5
189.6,4.74,4.0,69.0,0.01,4943.5,1.05,1.22,61.325,0.0,6.785,11.100000000000001
189.7,4.705,4.0,69.0,0.01,4943.24,1.05,1.22,61.48,0.0,6.795,10.0
189.8,4.72,4.0,69.0,0.01,4943.59,1.05,1.22,61.63,0.0,6.79,8.9
189.9,4.73,4.0,69.0,0.01,4943.33,1.05,1.22,61.64,0.0,6.8,9.5
190.0,4.715,4.0,69.0,0.01,4943.07,1.05,1.22,61.61,0.0,6.795,12.450000000000001
190.1,4.73,4.0,69.0,0.01,4943.24,1.05,1.22,61.65,0.0,6.81,12.450000000000001
190.2,4.72,4.0,69.0,0.01,4943.41,1.05,1.22,61.65,0.0,6.81,14.8
190.3,4.725,4.0,69.0,0.01,4943.41,1.05,1.22,61.63,0.0,6.8,12.95
190.4,4.72,4.0,69.0,0.01,4943.5,1.05,1.22,61.615,0.0,6.815,11.35
190.5,4.725,4.0,69.0,0.01,4943.41,1.05,1.22,61.64,0.0,6.795,11.35
190.6,4.72,4.0,69.0,0.01,4943.41,1.05,1.22,61.67,0.0,6.8,11.6
190.7,4.72,4.0,69.0,0.01,4943.41,1.05,1.22,61.72,0.0,6.8,12.7
190.9,4.675,4.0,69.0,0.01,4943.24,1.05,1.22,61.66,0.0,6.8,13.700000000000001
191.0,4.67,4.0,69.0,0.01,4943.24,1.05,1.22,61.725,0.0,6.805,13.25
191.1,4.63,4.0,69.5,0.01,4943.24,1.05,1.22,61.675,0.0,6.8,13.25
191.2,4.63,4.0,69.0,0.01,4943.155,1.05,1.22,61.7,0.0,6.81,12.4
191.3,4.645,4.0,69.5,0.01,4943.24,1.05,1.22,61.715,0.0,6.805,12.4
191.4,4.675,4.0,69.0,0.01,4943.24,1.05,1.22,61.71,0.0,6.805,12.4
