MD,MFOA,MFOP,RPMA,WOBA,MFIA,MDIA,MDOA,HKLA,TQA,SPPA,ROPA
3664.3,45.49,45.0,69.0,7.18,3292.355,1.34,1.34,154.89,12.5,22.635,1.4000000000000001
3664.4,45.485,44.5,69.0,6.875,3292.4,1.34,1.34,155.16,10.5,22.565,1.35
3664.5,44.8,44.0,69.0,4.6,3292.4,1.34,1.34,157.96,9.46,22.06,1.3
3664.6,46.35,46.0,69.0,5.29,3292.4,1.34,1.34,157.33499999999998,9.87,22.385,1.25
3664.7,45.61,45.0,69.0,5.835,3292.4,1.34,1.34,156.845,11.095,22.64,1.2
3664.8,46.465,46.0,69.0,6.565,3292.4,1.34,1.34,156.535,10.04,22.85,1.55
3664.9,46.37,46.0,69.0,7.3,3291.92,1.34,1.34,155.93,12.64,22.89,1.9
3665.0,45.77,45.0,69.0,7.71,3292.04,1.34,1.34,155.39,18.26,23.01,1.9
3665.1,47.11,47.0,69.0,7.939999999999999,3292.295,1.34,1.34,155.495,16.195,23.005,1.7999999999999998
3665.2,45.46,45.0,69.0,8.285,3291.275,1.34,1.34,155.21499999999995,12.885000000000002,23.08,1.7999999999999998
3665.3,47.435,47.0,69.0,8.07,3291.755,1.34,1.34,155.235,11.19,23.015,1.7999999999999998
3665.4,45.57,45.0,69.0,8.04,3292.285,1.34,1.34,155.35000000000002,12.83,22.965,1.699999999999999
3665.5,45.585,45.0,69.0,7.83,3292.165,1.34,1.34,155.66500000000002,11.505,23.06,1.6
3665.6,46.41,46.0,69.0,7.675,3292.355,1.34,1.34,155.745,11.595,22.895,1.6
3665.7,45.335,45.0,69.0,7.865,3292.395,1.34,1.34,155.21499999999995,11.635,22.785,1.6
3665.8,46.035,45.5,69.0,8.335,3291.7650000000003,1.34,1.34,155.05,12.68,23.115,1.6
3665.9,47.18,47.0,69.0,8.43,3290.51,1.34,1.34,155.14,16.52,23.18,1.6
3666.0,46.82,46.5,69.0,8.07,3291.54,1.34,1.34,155.27,14.975,23.1,1.6
3666.1,46.47,46.0,69.0,7.8,3291.41,1.34,1.34,155.5,16.97,23.08,1.6
3666.2,45.43000000000001,45.0,69.0,7.835,3291.885,1.34,1.34,155.59,10.265,22.945,1.55
3666.3,47.31,47.0,69.0,8.07,3291.09,1.34,1.34,155.32,12.57,23.13,1.5
3666.4,45.89,45.0,69.0,8.22,3291.85,1.34,1.34,155.3,15.46,23.04,1.5
3666.5,46.58,46.0,69.0,8.03,3291.48,1.34,1.34,155.32,13.294999999999998,23.04,1.6
3666.6,46.505,46.0,69.0,8.004999999999999,3291.775,1.34,1.34,155.485,10.37,22.97,1.55
3666.7,45.02,44.5,69.0,7.98,3292.02,1.34,1.34,155.365,11.760000000000002,22.735,1.5
3666.8,47.42,47.0,69.0,8.11,3292.02,1.34,1.34,155.22,11.5,22.97,1.5
3666.9,45.57,45.0,69.0,7.96,3292.05,1.34,1.34,155.49,10.2,23.03,1.6
3667.0,46.565,46.0,69.0,7.88,3291.5,1.34,1.34,155.515,14.86,22.950000000000003,1.55
3667.1,45.62,45.0,69.0,7.79,3291.91,1.34,1.34,155.53,15.25,22.96,1.5
3667.2,47.41,47.0,69.0,7.75,3291.95,1.34,1.34,155.53,14.67,22.74,1.6
3667.3,47.335,47.0,69.0,8.155,3292.075,1.34,1.34,155.065,11.74,22.845,1.6
3667.4,47.41,47.0,69.0,8.35,3291.42,1.35,1.35,155.16,14.03,23.05,1.6
3667.5,48.31,48.0,69.0,8.16,3291.895,1.36,1.36,155.245,10.825,22.985,1.5
3667.6,46.02,46.0,69.0,8.06,3290.97,1.36,1.36,155.4,9.38,22.95,1.5
3667.7,46.54,46.0,69.0,7.9,3292.21,1.36,1.36,155.51,16.62,22.99,1.6
3667.8,46.555,46.0,69.0,7.81,3291.38,1.36,1.36,155.575,10.900000000000002,22.93,1.6
3667.9,46.875,46.5,69.0,7.58,3291.51,1.36,1.36,155.715,10.735,22.935,1.6
3668.0,45.335,45.0,69.0,7.595,3292.395,1.36,1.36,155.815,12.125,22.77,1.6
3668.1,45.21,44.5,69.0,7.65,3291.74,1.36,1.36,155.725,12.19,22.96,1.6
3668.2,45.75,45.0,69.0,7.3,3292.29,1.36,1.36,156.01,17.5,22.86,1.6
3668.3,45.205,44.5,69.0,7.595000000000001,3292.4,1.36,1.36,155.84,13.175,22.71,1.5
3668.4,44.7,44.0,69.0,7.54,3292.27,1.36,1.36,155.9,7.72,22.79,1.5
3668.5,45.54,45.0,69.0,7.76,3290.99,1.36,1.36,155.55,5.76,22.99,1.6
3668.6,45.63,45.0,69.0,7.63,3291.825,1.36,1.36,155.75,12.555,22.85,1.6
3668.7,45.62,45.0,69.0,7.57,3291.61,1.36,1.36,155.82,14.65,22.98,1.6
3668.8,47.13,47.0,69.0,7.69,3291.68,1.36,1.36,155.68,15.47,22.82,1.6
3668.9,44.79,44.0,69.0,7.71,3292.33,1.36,1.36,155.73,7.94,22.86,1.6
3669.0,46.32,45.5,69.0,7.705,3292.185,1.36,1.36,155.62,14.065,22.79,1.6
3669.1,47.17,47.0,69.0,7.9,3291.55,1.36,1.36,155.42,13.34,22.79,1.5
3669.2,46.58,46.0,69.0,7.94,3291.85,1.36,1.36,155.6,17.93,22.89,1.5
3669.3,47.510000000000005,47.0,69.0,7.859999999999999,3291.44,1.36,1.36,155.45,14.48,22.99,1.6
3669.4,45.41,45.0,69.0,7.685,3291.45,1.36,1.36,155.63,15.025,22.945,1.55
3669.5,47.12,47.0,69.0,7.62,3292.17,1.36,1.36,155.75,10.17,22.79,1.5
3669.6,45.71,45.5,69.0,7.77,3292.24,1.36,1.36,155.66000000000005,11.525,22.77,1.5
3669.7,45.71,45.0,69.0,7.78,3292.18,1.36,1.36,155.45,14.93,22.8,1.5
3669.8,45.7,45.0,69.0,7.84,3292.045,1.36,1.36,155.54500000000002,12.78,22.765,1.55
3669.9,46.02,45.5,69.0,7.73,3291.61,1.36,1.36,155.68,11.995,22.845,1.6
3670.0,46.77,46.0,69.0,8.06,3291.81,1.36,1.36,155.36,18.41,22.91,1.6
3670.1,46.56,46.0,69.0,7.960000000000001,3291.76,1.36,1.36,155.535,12.239999999999998,22.915,1.6
3670.2,46.225,46.0,69.0,7.5,3291.5950000000003,1.36,1.36,155.72,9.585,22.895000000000003,1.55
3670.3,47.455,47.0,69.0,7.625,3291.855,1.36,1.36,155.725,11.48,22.895000000000003,1.5
3670.4,45.285,45.0,69.0,7.800000000000001,3292.235,1.36,1.36,155.465,10.84,22.605,1.5
3670.5,47.3,47.0,69.0,7.99,3290.84,1.36,1.36,155.44,9.15,23.11,1.5
3670.6,45.475,45.0,69.0,7.765,3291.38,1.36,1.36,155.645,11.985,22.905,1.5
3670.7,45.73,45.0,69.0,7.59,3291.075,1.36,1.36,155.715,13.725,22.995,1.5
3670.8,47.21,46.5,69.0,7.49,3291.21,1.36,1.36,155.845,11.485,23.0,1.55
3670.9,46.435,46.0,69.0,7.115,3292.21,1.36,1.36,156.27,10.465,22.775,1.6
3671.0,47.15,47.0,69.0,7.36,3292.23,1.36,1.36,155.92,16.4,22.74,1.6
3671.1,45.32,44.5,69.0,7.555,3292.16,1.36,1.36,155.86,12.765,22.83,1.6
3671.2,45.58,45.0,69.0,7.555,3291.94,1.36,1.36,155.825,10.13,22.77,1.6
3671.3,46.8,46.0,69.0,7.39,3291.79,1.36,1.36,155.98,10.32,22.82,1.6
3671.4,47.54,47.0,69.0,7.25,3291.91,1.36,1.36,156.16,10.475,22.755,1.6
3671.5,46.55,46.0,69.0,7.24,3292.4,1.36,1.36,156.05,10.25,22.72,1.5
3671.6,45.985,45.5,69.0,7.455,3292.27,1.36,1.36,155.82999999999998,10.315,22.72,1.5
3671.7,45.015,44.5,69.0,7.67,3291.5550000000003,1.36,1.36,155.775,14.425,22.915,1.6
3671.8,46.735,46.5,69.0,7.445,3291.525,1.36,1.36,155.98,12.260000000000002,22.93,1.6
3671.9,46.985,46.5,69.0,7.12,3292.0550000000003,1.36,1.36,156.385,12.845,22.735,1.6
3672.0,44.78,44.0,69.0,6.95,3292.37,1.36,1.36,156.44,9.92,22.62,1.6
3672.1,47.44,47.0,69.0,7.22,3292.18,1.36,1.36,155.95,13.24,22.74,1.5
3672.2,45.59,45.0,69.0,7.425000000000001,3291.995,1.36,1.36,155.97,13.77,22.9,1.55
3672.3,47.615,47.0,69.0,7.36,3292.3050000000003,1.36,1.36,156.145,10.195,22.725,1.6
3672.4,46.205,45.5,69.0,7.285,3292.3500000000004,1.36,1.36,155.99,13.79,22.62,1.6
3672.5,45.27,44.5,69.0,7.81,3291.775,1.36,1.36,155.45499999999998,12.605,22.805,1.6
3672.6,46.43,46.0,69.0,7.92,3292.05,1.36,1.36,155.42,17.3,22.82,1.6
3672.7,45.445,45.0,69.0,8.145,3291.37,1.36,1.36,155.28,15.075,22.94,1.5
3672.8,44.41,44.0,69.0,8.01,3290.56,1.36,1.36,155.38,7.06,22.9,1.5
3672.9,44.53,44.0,69.0,7.92,3290.79,1.36,1.36,155.48,8.86,22.97,1.5
3673.0,46.125,45.5,69.0,8.09,3290.66,1.36,1.36,155.29500000000002,10.82,22.97,1.55
3673.1,46.03,46.0,69.0,7.94,3290.89,1.36,1.36,155.47,10.52,23.05,1.6
3673.2,46.43,46.0,69.0,8.09,3291.835,1.36,1.36,155.245,11.895,22.715,1.6
3673.3,45.35,45.0,69.0,8.395,3291.0550000000003,1.36,1.36,154.905,13.56,22.885,1.5
3673.4,47.44,47.0,69.0,8.69,3289.7,1.36,1.36,154.86,15.97,23.08,1.5
3673.5,45.995000000000005,45.5,69.0,8.735,3290.245,1.36,1.36,154.47,13.42,23.075,1.5
3673.6,46.81,46.5,69.0,8.895,3290.415,1.36,1.36,154.625,12.02,23.08,1.5
3673.7,47.45,47.0,69.0,8.61,3292.4,1.36,1.36,154.65,17.66,22.91,1.5
3673.8,46.55,46.0,69.0,7.15,3292.4,1.36,1.36,156.07,8.92,22.2,1.5
3673.9,47.185,46.5,69.0,7.775,3292.08,1.36,1.36,155.47,8.93,22.595,0.7000000000000001
3674.0,46.53,46.0,69.0,8.48,3290.91,1.36,1.36,155.1,18.12,22.92,0.7000000000000001
3674.1,46.95,46.0,69.0,7.93,3290.92,1.36,1.36,155.84,15.38,23.09,1.4000000000000001
3674.2,45.295,44.5,69.0,7.32,3292.02,1.36,1.36,156.075,8.615,22.79,1.4000000000000001
3674.3,46.9,46.0,69.0,7.15,3292.34,1.36,1.36,156.3,10.3,22.7,1.4000000000000001
3674.4,46.75,46.0,69.0,6.73,3292.4,1.36,1.36,156.5,12.48,22.59,1.4000000000000001
3674.5,45.665,45.0,69.0,7.115,3292.4,1.36,1.36,156.39499999999998,12.165,22.57,1.3
3674.6,45.06,45.0,69.0,6.85,3291.81,1.36,1.36,156.54,7.19,22.76,1.3
3674.7,47.43,47.0,69.0,6.615,3292.395,1.36,1.36,156.72,9.8,22.38,1.4000000000000001
3674.8,45.65,45.0,69.0,7.12,3292.4,1.36,1.36,156.05,14.77,22.35,1.4000000000000001
3674.9,44.79,44.0,69.0,7.57,3290.22,1.36,1.36,155.89,19.07,22.94,1.3
3675.0,45.645,45.0,69.0,7.325,3256.63,1.36,1.36,156.10000000000002,16.04,22.435,1.3
3675.1,44.48,44.0,69.0,6.67,3257.23,1.36,1.36,156.69,5.45,22.27,1.3
3675.2,46.05,45.5,69.0,6.52,3256.4750000000004,1.36,1.36,156.99,11.135,22.31,1.3
3675.3,46.62,46.0,69.0,6.15,3257.72,1.36,1.36,157.27,17.14,22.26,1.3
3675.4,44.79,44.0,69.0,6.14,3257.67,1.36,1.36,157.14,15.96,22.04,1.3
3675.5,47.405,47.0,69.0,6.45,3257.715,1.36,1.36,156.89,10.7,22.095,1.3
3675.6,44.83,44.0,69.0,7.09,3257.72,1.36,1.36,156.20499999999998,7.125,21.89,1.3
3675.7,47.11,47.0,69.0,7.58,3256.23,1.36,1.36,155.87,14.8,22.53,1.4000000000000001
3675.8,46.54,46.0,69.0,7.59,3256.39,1.36,1.36,156.11,17.03,22.42,1.4000000000000001
3675.9,45.225,44.5,69.0,7.035,3257.255,1.36,1.36,156.435,13.135,22.33,1.3
3676.0,45.34,45.0,69.0,7.01,3257.72,1.36,1.36,156.24,7.33,22.19,1.3
3676.1,44.765,44.0,69.0,6.965,3257.385,1.36,1.36,156.365,10.82,22.2,1.3
3676.2,45.085,44.5,69.0,7.32,3256.86,1.36,1.36,156.035,13.075,22.325,1.35
3676.3,44.9,44.0,69.0,7.135,3257.19,1.36,1.36,156.17000000000002,11.375,22.195,1.4000000000000001
