MD,MFOA,MFOP,RPMA,WOBA,MFIA,MDIA,MDOA,HKLA,TQA,SPPA,ROPA
439.8,52.64529,52.64529,100.48475,3.090023,4023.5175,1.0795655000000002,0.1294555,59.043065,15.469565,7.921706,4.6537299999999995
439.9,52.926685000000006,52.926685000000006,100.3275,2.524477,4031.7875,1.0801515,0.129454,59.60861,13.873715,7.935976,4.6537299999999995
440.0,52.642435,52.642435,100.08605,2.8951665,4029.8455,1.0800175,0.1294595,59.237915,12.657365,7.931036000000001,4.6537299999999995
440.1,52.34531,52.34531,100.46613,2.745838,4028.7805,1.0797315,0.129403,59.387245,9.762469,7.958481,4.262020000000001
440.2,52.05008,52.05008,102.6887,1.470459,4036.675,1.080926,0.129447,60.66262,4.664019,7.995257,4.262020000000001
440.3,52.08691,52.08691,101.91565,1.3391419999999998,4040.4345,1.081674,0.129583,60.793940000000006,2.284461,8.002393,4.262020000000001
440.4,52.184565,52.184565,101.8146,1.132662,4039.808,1.0799075,0.1295545,61.000420000000005,1.7556335,8.005137,4.262020000000001
440.5,52.432155,52.432155,102.11075,1.1074885,4039.8705,1.0794385,0.129292,61.025595,1.1715575,8.001844,4.262020000000001
440.6,52.37097,52.37097,102.19715,1.1112935,4038.2415,1.080581,0.129475,61.02179,0.7403295000000001,8.000745,7.0588
440.7,52.117425,52.117425,102.12995,1.120464,4039.62,1.0806105,0.1295005,61.01262,0.722041,8.002942,7.0588
440.8,52.03809,52.03809,102.04635,1.128851,4039.683,1.0799500000000002,0.1294275,61.00423,0.8426775,8.00404,7.0588
440.9,52.059885,52.059885,102.05055,1.116434,4039.683,1.080446,0.1294779999999999,61.016645,0.8838335,8.008431,7.0588
441.0,52.02827,52.02827,102.09615,1.1169985,4038.43,1.08075,0.1295325,61.016085,0.7987299999999999,8.002393,7.0588
441.1,52.0234,52.0234,102.21005,1.112413,4038.1165,1.0807105,0.129526,61.02067,0.594343,7.998002,7.719294999999999
441.2,52.04651,52.04651,101.92695,1.122591,4039.62,1.080723,0.1295225,61.01049,2.660677,7.996354999999999,8.37979
441.3,52.165130000000005,52.165130000000005,101.88185,1.5365715,4038.868,1.0807034999999998,0.129506,60.59651,5.6016705,7.996904,8.37979
441.4,52.5757,52.5757,99.88464,2.2596015,4035.673,1.0803235,0.129463,59.873485,11.145235,7.943661,8.37979
441.5,52.48088,52.48088,99.458515,2.8912485,4032.853,1.0799795,0.1294624999999999,59.241835,10.655385,7.972204,8.37979
441.6,52.477945000000005,52.477945000000005,99.38005,2.909702,4029.219,1.0784764999999998,0.1292765,59.22338,12.13403,7.935976999999999,7.6698
441.7,52.45226,52.45226,99.890035,3.093489,4024.9585,1.0781710000000002,0.129218,59.039595000000006,12.399965,7.941465,7.6698
441.8,52.15112,52.15112,99.65308,3.214512,4028.279,1.0789795,0.1292845,58.91857,12.60913,7.933232,7.6698
441.9,52.13147,52.13147,99.7237,3.197624,4025.773,1.079929,0.1294255,58.93546,12.82121,7.935976,7.6698
442.0,51.90054,51.90054,99.89153,3.1732425,4027.402,1.080213,0.129471,58.959845,12.00216,7.942014,7.6698
442.1,51.733360000000005,51.733360000000005,99.402265,3.1736925,4028.154,1.0799325,0.129435,58.95939,12.389075,7.937075,6.43104
442.2,51.77055,51.77055,99.12519,3.1601525,4025.5225,1.079189,0.129412,58.97293,12.806475,7.935428,6.43104
442.3,51.855095,51.855095,100.0911,3.1684245,4022.515,1.079836,0.12942,58.96466,14.24607,7.932683,6.43104
442.4,51.92553,51.92553,99.62829,3.5698875,4026.525,1.0799625,0.1293615,58.563195,12.279205,7.937074,6.43104
442.5,51.34581,51.34581,100.29275,3.0197700000000003,4032.4145,1.0803005,0.129422,59.113315,9.1211375,7.984828999999999,6.43104
442.6,50.964755,50.964755,99.55898,2.728167,4035.109,1.079913,0.129512,59.404915,11.37073,7.945857,6.1613
442.7,51.54104,51.54104,101.4047,2.355684,4037.7405,1.0805245,0.129508,59.777395,5.550069499999999,8.000197,6.1613
442.8,51.550415,51.550415,101.47165,2.076046,4040.3095,1.0801865,0.1294405,60.05704,3.179961,7.997453,6.1613
442.9,51.55423,51.55423,102.1555,1.826273,4039.933,1.0808624999999998,0.129591,60.30681,1.2708955,8.017214,6.1613
443.0,51.603005,51.603005,102.05925,1.3853395000000002,4039.4325,1.079681,0.1294529999999999,60.747745,1.397255,8.020507,6.1613
443.1,51.507785,51.507785,102.0711,1.195406,4039.056,1.0791655,0.129304,60.93768,0.8524315,8.019409,5.97773
443.2,51.388355,51.388355,102.14705,1.0044650000000002,4038.2415,1.080226,0.129434,61.12862,1.715442,8.016115,5.97773
443.3,51.21753,51.21753,101.78345,1.0005495,4039.996,1.0794115,0.1293605,61.132535,1.6575535,8.014469,5.97773
