MD,RPMA,WOBA,ROPA
1804.2,79.0,2.64,0.38
1804.3,79.0,3.35,0.38
1804.4,79.0,3.95,0.38
1804.5,79.0,4.11,0.38
1804.6,79.0,4.015000000000001,0.425
1804.7,79.0,3.6,0.47
1804.8,79.0,3.28,0.47
1804.9,79.0,2.8,0.47
1805.0,79.0,2.73,0.5549999999999999
1805.1,79.0,2.585,0.5549999999999999
1805.2,79.0,2.56,0.64
1805.3,79.0,2.42,0.64
1805.4,79.0,2.705,0.64
1805.5,79.0,3.65,0.64
1805.6,79.0,3.965,0.625
1805.7,79.0,4.195,0.61
1805.8,79.0,4.135,0.61
1805.9,79.0,4.1,0.61
1806.0,79.0,3.97,0.61
1806.1,79.0,3.95,0.61
1806.2,79.0,3.92,0.61
1806.4,79.0,4.25,0.61
1806.5,79.0,4.495,0.635
1806.6,79.0,4.755,0.635
1806.7,79.0,5.95,0.66
1806.8,79.0,3.81,0.66
1806.9,79.0,5.98,0.66
1807.0,79.0,4.375,0.66
1807.1,79.0,6.145,0.19
1807.2,79.0,6.955,0.19
1807.3,79.0,5.99,0.19
1807.4,79.0,5.99,0.19
1807.5,79.0,3.01,0.205
1807.6,79.0,0.71,0.22
1807.7,79.0,1.085,0.22
1807.8,79.0,1.26,0.22
1807.9,79.0,1.4,0.22
1808.0,79.0,1.32,0.22
1808.1,79.0,1.44,0.52
1808.2,79.0,1.355,0.52
1808.3,79.0,1.29,0.52
1808.4,79.0,1.255,0.52
1808.5,79.0,1.27,0.585
1808.6,79.0,1.275,0.585
1808.7,79.0,1.295,0.65
1808.8,79.0,1.22,0.65
1808.9,79.0,1.26,0.65
1809.0,79.0,1.275,0.65
1809.1,79.0,1.36,0.65
1809.2,79.0,1.465,0.65
1809.3,79.0,1.515,0.65
1809.4,79.0,1.58,0.65
1809.5,79.0,1.4700000000000002,0.655
1809.6,79.0,1.435,0.655
1809.7,79.0,1.35,0.66
1809.8,79.0,1.3450000000000002,0.66
1809.9,79.0,1.33,0.66
1810.0,79.0,1.3050000000000002,0.66
1810.1,79.0,1.36,0.66
1810.2,79.0,1.3050000000000002,0.66
1810.3,79.0,1.35,0.66
1810.4,79.0,1.37,0.66
1810.5,79.0,1.355,0.66
1810.6,79.0,1.4049999999999998,0.65
1810.7,79.0,1.4,0.65
1810.8,79.0,1.47,0.64
1810.9,79.0,1.43,0.64
1811.0,79.0,1.4249999999999998,0.6799999999999999
1811.1,79.0,1.495,0.6799999999999999
1811.2,79.0,1.47,0.72
1811.3,79.0,1.455,0.72
1811.4,79.0,1.39,0.72
1811.5,79.0,1.3,0.6799999999999999
1811.6,79.0,1.25,0.6799999999999999
1811.7,79.0,1.25,0.64
1811.8,79.0,1.22,0.64
1811.9,79.0,1.245,0.64
1812.0,79.0,1.205,0.685
1812.1,79.0,1.245,0.685
1812.3,79.0,1.34,0.73
1812.4,79.0,1.395,0.73
1812.5,79.0,1.495,0.71
1812.6,79.0,1.54,0.71
1812.7,79.0,1.455,0.69
1812.8,79.0,1.635,0.69
1812.9,79.0,1.98,0.69
1813.0,79.0,2.425,0.71
1813.1,79.0,3.07,0.71
1813.2,79.0,3.45,0.73
1813.3,79.0,3.64,0.73
1813.4,79.0,3.72,0.73
1813.5,79.0,3.705,0.745
1813.6,79.0,3.74,0.745
1813.7,79.0,3.82,0.76
1813.8,79.0,3.98,0.76
1813.9,79.0,4.01,0.76
1814.0,79.0,4.19,0.76
1814.1,79.0,2.275,0.7050000000000001
1814.2,79.0,0.395,0.65
1814.3,79.0,0.6,0.65
1814.5,79.0,2.85,0.46
1814.6,79.0,4.23,0.46
1814.7,79.0,5.355,0.27
1814.8,79.0,5.555,0.27
1815.0,79.0,5.525,0.575
1815.1,79.0,5.539999999999999,0.575
1815.2,79.0,5.265000000000001,0.88
1815.4,79.0,4.98,0.88
1815.5,79.0,4.695,0.86
1815.6,79.0,4.4,0.86
1815.7,79.0,4.095,0.84
1815.8,79.0,3.765,0.84
1815.9,79.0,3.605,0.84
1816.0,79.0,3.425,0.83
1816.2,79.0,3.5,0.83
1816.3,79.0,3.535,0.82
1816.4,79.0,3.52,0.82
1816.5,79.0,3.37,0.845
1816.6,79.0,3.395,0.845
1816.7,79.0,3.335,0.87
1816.8,79.0,3.3600000000000003,0.87
1816.9,79.0,3.31,0.87
1817.1,79.0,3.16,0.845
1817.2,79.0,3.165,0.845
1817.3,79.0,3.02,0.82
1817.5,79.0,3.09,0.82
1817.6,79.0,3.16,0.8049999999999999
1817.7,79.0,3.2350000000000003,0.79
1817.9,79.0,3.27,0.79
1818.0,79.0,3.3,0.79
1818.1,79.0,3.205,0.81
1818.2,79.0,3.065,0.81
1818.3,79.0,3.005,0.83
1818.5,79.0,4.31,0.83
1818.6,79.0,3.39,0.82
1818.7,79.0,3.585,0.82
1818.8,79.0,1.455,0.82
1818.9,79.0,1.785,0.82
1819.0,79.0,1.8,0.82
1819.1,79.0,1.5,0.18
1819.2,79.0,1.72,0.18
1819.3,79.0,1.92,0.18
1819.4,79.0,2.15,0.18
1819.5,79.0,2.205,0.36
1819.6,79.0,2.325,0.36
1819.7,79.0,2.31,0.54
1819.9,79.0,2.705,0.54
1820.0,79.0,2.75,0.5900000000000001
1820.1,79.0,2.74,0.5900000000000001
1820.2,79.0,2.67,0.64
1820.3,79.0,2.68,0.64
1820.4,79.0,2.63,0.64
1820.5,79.0,2.615,0.69
1820.7,79.0,2.64,0.69
1820.8,79.0,2.625,0.74
1820.9,79.0,2.66,0.74
1821.0,79.0,2.69,0.74
1821.1,79.0,2.66,0.78
1821.2,79.0,2.645,0.78
1821.3,79.0,2.69,0.82
1821.4,79.0,2.605,0.82
1821.5,79.0,2.68,0.8049999999999999
1821.6,79.0,2.645,0.8049999999999999
1821.8,79.0,2.795,0.79
1821.9,79.0,2.825,0.79
1822.0,79.0,2.9450000000000003,0.8200000000000001
1822.1,79.0,3.26,0.8200000000000001
1822.2,79.0,3.815,0.85
1822.4,79.0,4.305,0.85
1822.5,79.0,5.109999999999999,0.875
1822.6,79.0,5.359999999999999,0.875
1822.7,79.0,5.68,0.9
1822.9,79.0,5.755,0.9
1823.0,79.0,5.885,0.88
1823.1,79.0,5.955,0.88
1823.2,79.0,6.029999999999999,0.86
1823.4,79.0,6.08,0.86
1823.5,79.0,6.08,0.895
1823.6,79.0,6.109999999999999,0.895
1823.7,79.0,6.005,0.93
1823.8,79.0,5.904999999999999,0.93
1823.9,79.0,5.74,0.93
1824.0,79.0,5.640000000000001,0.835
1824.2,79.0,5.54,0.835
1824.3,79.0,5.390000000000001,0.74
1824.4,79.0,5.265,0.74
1824.5,79.0,4.82,0.78
1824.6,79.0,4.415,0.78
1824.7,79.0,4.125,0.82
1824.8,79.0,4.35,0.82
1824.9,79.0,4.56,0.82
1825.0,79.0,4.805,0.8
1825.1,79.0,4.72,0.78
1825.3,79.0,4.904999999999999,0.78
1825.4,79.0,5.135,0.78
1825.5,79.0,5.37,0.78
1825.6,79.0,5.585,0.785
1825.7,79.0,5.385,0.785
1825.8,79.0,5.115,0.79
1825.9,79.0,4.895,0.79
1826.0,79.0,4.555,0.79
1826.1,79.0,4.3,0.79
1826.2,79.0,4.220000000000001,0.79
1826.3,79.0,3.94,0.79
1826.4,79.0,4.175000000000001,0.79
1826.5,79.0,4.465,0.77
1826.6,79.0,4.98,0.75
1826.8,79.0,5.37,0.75
1827.0,79.0,5.43,0.75
1827.1,79.0,5.54,0.765
1827.2,79.0,5.41,0.765
1827.3,79.0,5.37,0.78
1827.4,79.0,5.415,0.78
1827.5,79.0,5.51,0.8049999999999999
1827.6,79.0,5.555,0.8049999999999999
1827.7,79.0,5.630000000000001,0.83
1827.8,79.0,5.585,0.83
1827.9,79.0,5.515000000000001,0.83
1828.0,79.0,5.41,0.73
1828.1,79.0,5.365,0.73
1828.2,79.0,5.305,0.63
1828.3,79.0,5.335,0.63
1828.4,79.0,5.185,0.63
1828.5,79.0,4.234999999999999,0.64
1828.6,79.0,3.79,0.64
1828.7,79.0,3.245,0.65
1828.8,79.0,3.2,0.65
1828.9,79.0,3.375,0.65
1829.0,79.0,3.48,0.665
1829.1,79.0,3.38,0.665
1829.2,79.0,3.22,0.68
1829.3,79.0,2.895,0.68
1829.4,79.0,2.88,0.68
1829.5,79.0,2.78,0.68
1829.6,79.0,2.87,0.665
1829.7,79.0,2.855,0.665
1829.8,79.0,3.02,0.65
1829.9,79.0,3.285,0.69
