MD,TVD,RPMA,WOBA,MFIA,MDIA,MDOA,HKLA,TQA,SPPA,BDTI,ROPA
489.509,489.252768,84.0,6.164320308300001,2784.32194248,1.21000003814697,1.21000003814697,94.1113449276,0.352512666566164,9521.24613642792,24.5,41.897808000000005
489.6589999999999,489.403644,84.0,6.3094698667,2784.32194248,1.21000003814697,1.21000003814697,93.8754768952,0.3253963075995359,9364.39040800834,24.5,41.525952
490.10899999999947,489.8559672,84.0,6.4319398066,2784.32194248,1.21000003814697,1.21000003814697,94.1249526987,0.284721769149594,9319.9192234674,24.51,43.671744
490.25899999999933,490.0065384,84.0,6.2414310112,2784.32194248,1.21000003814697,1.21000003814697,94.0841293854,0.298279948632908,9359.70197304898,24.52,44.125896
490.4089999999992,490.1574144,84.0,6.037314444700001,2784.32194248,1.21000003814697,1.21000003814697,93.984339064,0.298279948632908,9376.31833812552,24.52,44.0436
490.608999999999,490.30798560000005,84.0,6.177928079400001,2784.32194248,1.21000003814697,1.21000003814697,93.7031117946,0.2440472306996519,9373.62938278118,24.52,42.601896
490.7089999999989,490.4588616,84.0,6.100817376499999,2784.32194248,1.21000003814697,1.21000003814697,93.9435157507,0.230489051216338,9553.30675784115,24.53,42.988992
490.78399999999885,490.4588616,84.0,6.100817376499999,2784.32194248,1.21000003814697,1.21000003814697,93.9435157507,0.230489051216338,9553.30675784115,24.53,42.988992
490.90899999999874,490.6094328,84.0,6.2006076979,2784.32194248,1.21000003814697,1.21000003814697,93.8845487426,0.257605410182966,9343.98192642056,24.53,43.610784
491.00899999999865,490.7603088,84.0,5.8422697256,2784.32194248,1.21000003814697,1.21000003814697,93.7802224975,0.2440472306996519,9440.922213962507,24.53,42.864024
491.33399999999835,491.061756,84.0,6.3684368748,2784.32194248,1.21000003814697,1.21000003814697,94.0795934617,0.2169308717330239,9313.024466174227,24.54,42.894504
491.4839999999982,491.2123272,84.0,6.3366854089,2784.32194248,1.21000003814697,1.21000003814697,93.7303273368,0.230489051216338,9252.55744471315,24.55,42.672
491.5089999999982,491.2123272,84.0,6.3366854089,2784.32194248,1.21000003814697,1.21000003814697,93.7303273368,0.230489051216338,9252.55744471315,24.55,42.672
491.6339999999981,491.3632032,84.0,5.9148445048000005,2784.32194248,1.21000003814697,1.21000003814697,93.8845487426,0.230489051216338,9437.61273046178,24.55,42.1386
491.68399999999804,491.3632032,84.0,5.9148445048000005,2784.32194248,1.21000003814697,1.21000003814697,93.8845487426,0.230489051216338,9437.61273046178,24.55,42.1386
491.78399999999795,491.5137744,84.0,6.1733921557,2784.32194248,1.21000003814697,1.21000003814697,93.8301176582,0.2169308717330239,9448.43749941206,24.55,42.547032
491.8589999999979,491.5137744,84.0,6.1733921557,2784.32194248,1.21000003814697,1.21000003814697,93.8301176582,0.2169308717330239,9448.43749941206,24.55,42.547032
491.90899999999783,491.5137744,84.0,6.1733921557,2784.32194248,1.21000003814697,1.21000003814697,93.8301176582,0.2169308717330239,9448.43749941206,24.55,42.547032
491.9339999999978,491.6646504,84.0,6.214215469,2784.32194248,1.21000003814697,1.21000003814697,93.9661953692,0.1626981537997679,9263.93379424687,24.56,42.501312
492.0339999999977,491.6646504,84.0,6.214215469,2784.32194248,1.21000003814697,1.21000003814697,93.9661953692,0.1626981537997679,9263.93379424687,24.56,42.501312
492.0839999999977,491.8152216,84.0,6.0237066736,2784.32194248,1.21000003814697,1.21000003814697,93.9344439033,0.0135581794833139,9279.99857873996,24.56,41.675304
495.5839999999945,495.2789688,84.0,4.7218965717,2784.32194248,1.21000003814697,1.21000003814697,95.3950113347,0.0135581794833139,9435.40640812797,24.65,39.724584
495.73399999999435,495.4292352,84.0,4.5132440815,2784.32194248,1.21000003814697,1.21000003814697,95.2861491659,0.0135581794833139,9547.37726656902,24.66,40.190928
496.05899999999406,495.73037760000005,84.0,4.808079122,2784.32194248,1.21000003814697,1.21000003814697,95.1319277601,0.0135581794833139,9317.57500598772,24.66,39.82212
496.50899999999365,496.1817864,84.0,4.1322264907,2784.32194248,1.21000003814697,1.21000003814697,95.5673764353,0.0135581794833139,9389.5562721284,24.67,40.535352
496.5589999999936,496.1817864,84.0,4.1322264907,2784.32194248,1.21000003814697,1.21000003814697,95.5673764353,0.0135581794833139,9389.5562721284,24.67,40.535352
501.3839999999892,500.9927496,92.9,3.9099662294,2821.98679188,1.21000003814697,1.21000003814697,96.1298309741,0.7456998715822699,9466.43281594723,24.8,25.164288
501.4839999999891,500.9927496,92.9,3.9099662294,2821.98679188,1.21000003814697,1.21000003814697,96.1298309741,0.7456998715822699,9466.43281594723,24.8,25.164288
501.5339999999891,501.143016,126.0,1.7554024719,2961.10068288,1.21000003814697,1.21000003814697,97.749155735,3.85052297326118,10242.3688017204,24.8,24.761952
501.68399999998894,501.2932824,126.0,2.6943386778,2961.10068288,1.21000003814697,1.21000003814697,97.7400838876,3.28107943496199,10106.6799781908,24.81,43.23588
501.8339999999888,501.4435488,126.0,2.7986649229,2961.10068288,1.21000003814697,1.21000003814697,97.2683478228,3.25396307599536,9978.78223040257,24.81,49.228248
501.98399999998867,501.5938152,126.0,2.7533056859,2961.10068288,1.21000003814697,1.21000003814697,97.114126417,3.43021940927844,10044.1445295418,24.81,52.129944
502.0339999999886,501.5938152,126.0,2.7533056859,2961.10068288,1.21000003814697,1.21000003814697,97.114126417,3.43021940927844,10044.1445295418,24.81,52.129944
502.13399999998853,501.7437768,126.38,2.7260901437,2961.10068288,1.21000003814697,1.21000003814697,97.1095904933,3.5522430246282704,10169.0085841211,24.82,52.24272
