MD,MFOA,MFOP,RPMA,WOBA,MFIA,MDIA,MDOA,HKLA,TQA,SPPA,ROPA
186.1,4.72,4.0,69.0,1.75,4943.155,1.05,1.22,59.305,0.0,6.84,0.6
186.2,4.720000000000001,4.0,69.0,1.585,4943.585,1.05,1.22,59.475,0.0,6.845,0.53
186.3,4.72,4.0,69.0,1.705,4943.415,1.05,1.22,59.355,0.0,6.84,0.46
186.4,4.72,4.0,69.0,1.51,4943.07,1.05,1.22,59.55,0.0,6.86,0.46
186.5,4.7,4.0,69.0,1.67,4943.59,1.05,1.22,59.39,0.0,6.84,0.25
186.6,4.68,4.0,69.0,1.7,4943.41,1.05,1.22,59.36,0.0,6.83,0.25
186.7,4.73,4.0,69.0,1.72,4943.76,1.05,1.22,59.34,0.0,6.82,0.15
186.8,4.72,4.0,69.0,1.79,4943.76,1.05,1.22,59.26,0.0,6.8,0.15
186.9,4.72,4.0,69.0,1.71,4943.93,1.05,1.22,59.35,0.0,6.8,0.12
187.0,4.72,4.0,69.0,1.92,4943.59,1.05,1.22,59.14,0.0,6.81,0.12
187.1,4.72,4.0,69.0,2.46,4943.76,1.05,1.22,58.59,0.0,6.78,0.08
187.2,4.725,4.0,69.0,2.615,4943.325,1.05,1.22,58.445,0.0,6.78,0.08
187.3,4.72,4.0,69.0,2.355,4943.24,1.05,1.22,58.695,0.0,6.775,0.15
187.4,4.715,4.0,69.0,1.36,4943.5,1.05,1.22,59.7,0.0,6.785,0.15
187.5,4.715,4.0,69.0,0.6900000000000001,4943.33,1.05,1.22,60.395,0.0,6.795,0.185
187.6,4.72,4.0,69.0,0.445,4943.33,1.05,1.22,60.825,0.0,6.79,0.22
187.7,4.72,4.0,69.0,0.01,4943.33,1.05,1.22,61.27,0.0,6.79,0.515
187.8,4.725,4.0,69.0,0.01,4943.33,1.05,1.22,61.28,0.0,6.78,0.935
187.9,4.71,4.0,69.0,0.01,4943.325,1.05,1.22,61.14,0.0,6.775,0.935
188.0,4.720000000000001,4.0,69.0,0.01,4943.33,1.05,1.22,61.155,0.0,6.785,1.06
188.1,4.715,4.0,69.0,0.01,4943.155,1.05,1.22,61.075,0.0,6.785,1.035
188.2,4.72,4.0,69.0,0.19,4943.415,1.05,1.22,60.865,0.0,6.79,0.98
188.3,4.72,4.0,69.0,0.415,4943.5,1.05,1.22,60.645,0.0,6.79,0.98
188.4,4.72,4.0,69.0,0.49,4943.585,1.05,1.22,60.57,0.0,6.785,1.125
188.5,4.715,4.0,69.0,0.56,4943.33,1.05,1.22,60.5,0.0,6.779999999999999,1.125
188.6,4.72,4.0,69.0,0.645,4943.325,1.05,1.22,60.415000000000006,0.0,6.785,1.3
188.7,4.72,4.0,69.0,0.385,4943.155,1.05,1.22,60.67,0.0,6.785,1.05
188.8,4.715,4.0,69.5,0.355,4943.24,1.05,1.22,60.7,0.0,6.785,0.74
188.9,4.725,4.0,69.5,0.405,4943.24,1.05,1.22,60.655,0.0,6.79,0.68
189.0,4.73,4.0,69.0,0.4,4943.155,1.05,1.22,60.66,0.0,6.785,0.665
189.1,4.715,4.0,69.0,0.31,4943.155,1.05,1.22,60.785,0.0,6.78,0.65
189.2,4.71,4.0,69.0,0.01,4943.07,1.05,1.22,61.44,0.0,6.79,0.65
189.4,4.75,4.0,69.0,0.01,4943.5,1.05,1.22,61.405,0.0,6.795,0.8500000000000001
189.5,4.715,4.0,69.0,0.01,4943.24,1.05,1.22,61.47,0.0,6.795,0.8500000000000001
189.6,4.74,4.0,69.0,0.01,4943.5,1.05,1.22,61.325,0.0,6.785,1.11
189.7,4.705,4.0,69.0,0.01,4943.24,1.05,1.22,61.48,0.0,6.795,1.0
189.8,4.72,4.0,69.0,0.01,4943.59,1.05,1.22,61.63,0.0,6.79,0.89
189.9,4.73,4.0,69.0,0.01,4943.33,1.05,1.22,61.64,0.0,6.8,0.95
190.0,4.715,4.0,69.0,0.01,4943.07,1.05,1.22,61.61,0.0,6.795,1.245
190.1,4.73,4.0,69.0,0.01,4943.24,1.05,1.22,61.65,0.0,6.81,1.245
190.2,4.72,4.0,69.0,0.01,4943.41,1.05,1.22,61.65,0.0,6.81,1.48
190.3,4.725,4.0,69.0,0.01,4943.41,1.05,1.22,61.63,0.0,6.8,1.295
190.4,4.72,4.0,69.0,0.01,4943.5,1.05,1.22,61.615,0.0,6.815,1.135
190.5,4.725,4.0,69.0,0.01,4943.41,1.05,1.22,61.64,0.0,6.795,1.135
190.6,4.72,4.0,69.0,0.01,4943.41,1.05,1.22,61.67,0.0,6.8,1.16
190.7,4.72,4.0,69.0,0.01,4943.41,1.05,1.22,61.72,0.0,6.8,1.27
190.9,4.675,4.0,69.0,0.01,4943.24,1.05,1.22,61.66,0.0,6.8,1.37
191.0,4.67,4.0,69.0,0.01,4943.24,1.05,1.22,61.725,0.0,6.805,1.325
191.1,4.63,4.0,69.5,0.01,4943.24,1.05,1.22,61.675,0.0,6.8,1.325
191.2,4.63,4.0,69.0,0.01,4943.155,1.05,1.22,61.7,0.0,6.81,1.24
191.3,4.645,4.0,69.5,0.01,4943.24,1.05,1.22,61.715,0.0,6.805,1.24
191.4,4.675,4.0,69.0,0.01,4943.24,1.05,1.22,61.71,0.0,6.805,1.24
191.5,4.69,4.0,69.0,0.01,4943.24,1.05,1.22,61.73,0.0,6.81,1.24
191.6,4.72,4.0,69.0,0.01,4943.41,1.05,1.22,61.75,0.0,6.805,1.305
191.7,4.72,4.0,69.0,0.01,4943.41,1.05,1.22,61.78,0.0,6.81,1.305
191.8,4.72,4.0,69.0,0.01,4943.5,1.05,1.22,61.760000000000005,0.0,6.805,1.305
192.0,4.725,4.0,69.0,0.01,4943.755,1.05,1.22,61.77,0.0,6.82,1.305
192.1,4.72,4.0,69.0,0.01,4943.415,1.05,1.22,61.760000000000005,0.0,6.805,1.305
192.2,4.725,4.0,69.0,0.01,4943.845,1.05,1.22,61.73,0.0,6.825,1.21
192.3,4.72,4.0,69.0,0.01,4943.155,1.05,1.22,61.685,0.0,6.815,1.335
