MD,MFOA,MFOP,RPMA,WOBA,MFIA,MDIA,MDOA,HKLA,TQA,SPPA,ROPA
1553.8,60.96559,60.96559,79.20835,2.349964,4870.525,1.204361,1.2157215,97.932575,6.8034345,16.293305,1.1209235
1553.9,61.83003,61.83003,79.89367,2.581551,4870.082,1.20266,1.213592,97.70099,6.976943,16.36078,2.026626
1554.0,62.400715000000005,62.400715000000005,79.80149,2.436306,4870.905500000001,1.2040175,1.2145885,97.846235,6.9308245,16.365654999999997,1.533188
1554.2,62.948235,62.948235,79.557025,2.368084,4870.3985,1.2050115,1.2155965000000002,97.91446,7.119811,16.298855,1.0952965
1554.3,63.387395,63.387395,79.637175,2.4836080000000003,4871.6655,1.2062955,1.2168035,97.79893,7.3268035,16.453245,1.3011245
1554.4,63.4209,63.4209,79.56904499999999,2.344765,4871.601500000001,1.2072015,1.217966,97.937775,7.2496145,16.340980000000002,1.226638
1554.5,63.12932,63.12932,79.54499999999999,2.5779495,4871.602,1.207366,1.2183199999999998,97.70459,7.58948,16.491795,1.4477095000000002
1554.6,62.384665,62.384665,79.132205,2.293339,4872.235000000001,1.2077295,1.218515,97.9892,7.098224,16.327165,0.991566
1554.7,61.878135,61.878135,79.5971,2.3462295,4871.665,1.208317,1.2189595,97.93631,7.2150565,16.388170000000002,1.408493
1554.8,61.31564,61.31564,79.396715,2.3946,4871.349,1.209574,1.220199,97.88794,7.655692,16.332905,1.158905
1554.9,61.09642,61.09642,79.725345,2.9347765,4870.9055,1.2116034999999998,1.222503,97.34776,7.6998885,16.3144,0.9431545
1555.0,61.233305,61.233305,79.41675000000001,3.349579,4870.7785,1.211747,1.2226875,96.93296,8.123783,16.471875,0.9431545
1555.1,62.76394500000001,62.76394500000001,79.46083999999999,3.935467,4871.602000000001,1.2106125,1.221328,96.347075,7.6218075,16.403345,0.662364
1555.2,64.726265,64.726265,78.8677,4.0879055,4871.159,1.2132845,1.223912,96.19463,7.8928035,16.45947,0.473398
1555.3,66.797305,66.797305,79.9097,4.0932390000000005,4871.095,1.207709,1.219262,96.189305,7.4511645,16.365099999999998,0.439773
1555.4,68.763915,68.763915,79.72534999999999,4.132942,4871.0315,1.205159,1.215799,96.149595,7.6727365,16.372504999999997,0.380435
1555.5,68.93680499999999,68.93680499999999,80.09807,3.9486615,4871.032499999999,1.2069525,1.2180215,96.33388,6.9333295,16.277635,0.348077
1555.6,66.98338,66.98338,79.532975,3.890572,4870.652,1.2082805,1.219008,96.39197,7.390509,16.29842,0.497206
1555.7,64.85102499999999,64.85102499999999,79.364655,3.4511145,4870.7155,1.206747,1.2181894999999998,96.831425,7.002532,16.224835,0.624505
1555.8,63.754565,63.754565,79.589085,3.214199,4869.005999999999,1.2031915,1.21407,97.068345,6.385417,16.099935,0.3621605
1555.9,63.52534,63.52534,79.38068,3.84288,4870.019,1.211992,1.221693,96.439655,7.5679655,16.338639999999998,0.490718
1556.0,62.884425,62.884425,79.725345,3.5178755,4869.703,1.21167,1.223308,96.764665,7.442643500000001,16.333825,0.4005714999999999
1556.1,62.56504,62.56504,78.98793,3.6715125,4870.589,1.2028095,1.214193,96.61103,7.574483000000001,16.383235,0.4344989999999999
1556.2,63.65224,63.65224,79.87363500000001,3.4119495,4870.0195,1.2094615,1.220252,96.87059,7.270199,16.26789,0.379338
1556.3,64.65212,64.65212,78.707385,3.4640465000000003,4870.398499999999,1.2026279999999998,1.2138895,96.818495,7.0857220000000005,16.24353,0.346109
1556.4,63.695015,63.695015,79.17229,3.2901535,4870.3355,1.2059445,1.2155595,96.992385,6.759882,16.173830000000002,0.3369594999999999
1556.5,62.418165,62.418165,79.140225,3.285488,4870.715,1.21207,1.2240635000000002,96.99705,6.787454,16.156245,0.4520035
1556.6,62.12944,62.12944,79.04003499999999,3.2035445,4869.701999999999,1.20817,1.2189915,97.078995,6.107200000000001,16.042195,0.3390795
1556.7,61.78937500000001,61.78937500000001,79.0761,2.9786185,4869.005499999999,1.2099585,1.2208,97.30392,6.01797,15.980085,0.366569
1556.8,60.64371,60.64371,79.30454,2.820316,4869.196,1.203504,1.214674,97.46222,6.083639,16.003215,0.4141925
