MD,MFOA,MFOP,RPMA,WOBA,MFIA,MDIA,MDOA,HKLA,TQA,SPPA,ROPA
465.4,0.82,0.0,89.0,3.97,4025.465,1.05,1.06,63.21,11.58,7.52,0.44
465.5,0.82,0.0,89.0,4.23,4025.23,1.05,1.06,62.95,12.005,7.52,0.435
465.6,0.82,0.0,89.0,4.52,4025.395,1.05,1.06,62.665,12.825,7.52,0.43
465.7,0.82,0.0,89.0,4.85,4025.055,1.05,1.06,62.33,14.805,7.525,0.43
465.8,0.815,0.0,89.0,4.925,4025.07,1.05,1.06,62.255,15.575,7.53,0.405
465.9,0.81,0.0,89.0,5.08,4025.585,1.05,1.06,62.105,15.625,7.525,0.38
466.0,0.815,0.0,89.0,5.075,4025.745,1.05,1.06,62.105,16.2,7.52,0.38
466.1,0.815,0.0,89.0,5.17,4025.45,1.05,1.06,62.015,15.4,7.52,0.39
466.2,0.82,0.0,89.0,4.85,4025.53,1.05,1.06,62.33,12.76,7.52,0.4
466.3,0.82,0.0,89.0,3.875,4025.55,1.05,1.06,62.45,13.995,7.52,0.39
466.4,0.82,0.0,89.5,3.215,4025.685,1.05,1.06,62.255,15.695,7.52,0.38
466.5,0.815,0.0,89.5,3.375,4025.59,1.05,1.06,62.095,15.895,7.52,0.38
466.6,0.815,0.0,89.0,3.1050000000000004,4025.675,1.05,1.06,62.365,15.595,7.515,0.38
466.7,0.815,0.0,89.0,2.675,4025.93,1.05,1.06,62.795,15.995,7.51,0.38
466.8,0.815,0.0,89.0,2.375,4025.645,1.05,1.06,63.095,15.37,7.51,0.385
466.9,0.82,0.0,89.0,2.1,4025.82,1.05,1.06,63.37,12.37,7.51,0.39
467.0,0.82,0.0,89.0,2.295,4025.49,1.05,1.06,63.18,12.905,7.52,0.38
467.1,0.82,0.0,89.0,2.415,4025.6,1.05,1.06,63.055,12.735,7.52,0.38
467.2,0.815,0.0,89.0,2.755,4025.325,1.05,1.06,62.715,14.47,7.52,0.42
467.3,0.815,0.0,89.0,2.93,4025.53,1.05,1.06,62.54,14.105,7.52,0.47
467.4,0.82,0.0,89.0,2.87,4025.505,1.05,1.06,62.6,12.02,7.525,0.425
467.5,0.82,0.0,89.0,2.765,4025.525,1.05,1.06,62.705,11.225,7.525,0.38
467.6,0.81,0.0,89.0,2.75,4025.585,1.05,1.06,62.72,12.245,7.52,0.405
467.7,0.815,0.0,89.0,2.465,4025.685,1.05,1.06,63.010000000000005,12.335,7.52,0.43
467.8,0.82,0.0,89.0,2.18,4026.005,1.05,1.06,63.295,13.08,7.52,0.4
467.9,0.81,0.0,89.0,2.34,4026.11,1.05,1.06,63.13,13.62,7.52,0.37
468.0,0.81,0.0,89.0,2.42,4025.77,1.05,1.06,63.05,12.925,7.52,0.37
468.1,0.815,0.0,89.0,1.255,4025.59,1.05,1.06,64.425,7.795,7.535,0.385
468.2,0.81,0.0,89.0,0.54,4025.455,1.05,1.06,65.33000000000001,3.47,7.55,0.4
468.3,0.82,0.0,89.0,0.01,4025.73,1.05,1.06,66.46,2.66,7.56,0.48
468.4,0.82,0.0,89.0,0.01,4025.63,1.05,1.06,66.46,3.435,7.56,0.56
468.5,0.82,0.0,89.0,0.065,4025.285,1.05,1.06,65.93,6.515000000000001,7.555,0.56
468.7,0.82,0.0,89.0,1.0949999999999998,4025.46,1.05,1.06,64.38,11.785,7.54,0.75
468.8,0.81,0.0,89.0,2.03,4025.895,1.05,1.06,63.44499999999999,10.905,7.53,0.86
