MD,TVD,RPMA,WOBA,MFIA,HKLA,TQA,SPPA,DBTM,STKC,MFOA,ROPA
80.0,80.0,0.0,0.0,0.0,30.24,-0.38,-0.01,82.99,8256.0,19.7,11.79
80.1,80.1,0.0,0.0,0.0,30.24,-0.37,-0.01,82.99,8256.0,19.75,11.79
80.2,80.2,0.0,0.0,0.0,30.24,-0.37,-0.01,82.99,8256.0,19.79,11.79
80.3,80.3,0.0,0.0,0.0,30.24,-0.37,-0.01,82.99,8256.0,19.83,11.79
80.4,80.4,0.0,0.0,0.0,30.24,-0.36,-0.01,82.99,8256.0,19.87,11.79
80.5,80.5,0.0,0.0,0.0,30.23,-0.36,-0.01,83.14,8256.0,19.92,11.79
80.6,80.6,0.0,0.0,0.0,30.21,-0.35,-0.01,83.44,8256.0,19.97,11.79
80.7,80.7,0.0,0.0,0.0,30.19,-0.34,-0.01,83.74,8256.0,20.02,11.79
80.8,80.8,0.0,0.0,0.0,30.19,-0.33,-0.01,83.79,8256.0,20.05,11.79
80.9,80.9,0.0,0.0,0.0,30.19,-0.33,-0.02,83.83,8256.0,20.07,11.79
81.0,81.0,0.0,0.0,0.0,30.19,-0.33,-0.02,83.88,8256.0,20.1,11.79
81.1,81.1,0.0,0.0,0.0,30.19,-0.32,-0.02,83.93,8256.0,20.12,11.79
81.2,81.2,0.0,0.0,0.0,30.19,-0.32,-0.02,83.95,8256.0,20.14,11.79
81.3,81.3,0.0,0.0,0.0,30.18,-0.31,-0.02,83.95,8256.0,20.17,11.79
81.4,81.4,0.0,0.0,0.0,30.16,-0.31,-0.02,83.95,8256.0,20.19,11.79
81.5,81.5,0.0,0.0,0.0,30.15,-0.3,-0.02,83.95,8256.0,20.22,11.79
81.6,81.6,0.0,0.0,0.0,30.14,-0.3,-0.02,83.95,8256.0,20.24,11.79
81.7,81.7,0.0,0.0,0.0,30.12,-0.29,-0.02,83.98,8256.0,20.28,11.79
81.8,81.8,0.0,0.0,0.0,30.09,-0.28,-0.02,84.03,8256.0,20.34,11.79
81.9,81.9,0.0,0.0,0.0,30.06,-0.28,-0.02,84.09,8256.0,20.4,11.79
82.0,82.0,0.0,0.0,0.0,30.03,-0.27,-0.02,84.15,8256.0,20.45,11.79
82.1,82.1,0.0,0.0,0.0,30.01,-0.26,-0.02,84.2,8256.0,20.51,11.79
82.2,82.2,0.0,0.0,0.0,29.98,-0.25,-0.01,84.26,8256.0,20.56,11.79
82.3,82.3,0.0,0.0,0.0,29.98,-0.25,-0.01,84.26,8256.0,20.56,11.79
82.4,82.4,0.0,0.0,0.0,29.98,-0.25,-0.01,84.26,8256.0,20.56,11.79
82.5,82.5,0.0,0.0,0.0,29.98,-0.25,-0.01,84.26,8256.0,20.56,11.79
82.6,82.6,0.0,0.0,0.0,29.98,-0.25,-0.01,84.26,8256.0,20.56,11.79
82.7,82.7,0.0,0.0,0.0,29.96,-0.25,-0.01,84.26,8256.0,20.58,11.79
82.8,82.8,0.0,0.0,0.0,29.93,-0.25,-0.01,84.27,8256.0,20.6,11.79
82.9,82.9,0.0,0.0,0.0,29.89,-0.25,-0.01,84.28,8256.0,20.62,11.79
