MD,TVD,RPMA,WOBA,MFIA,HKLA,TQA,SPPA,DBTM,STKC,MFOA,ROPA
1560.7,1503.51,22.06,0.0,1192.08,50.76,7.67,18513.96,1561.14,10409.7,47.45,24.5
1560.8,1503.6,22.08,0.0,1192.11,50.95,7.67,18500.88,1561.14,10413.1,47.54,24.5
1560.9,1503.7,22.11,0.0,1192.13,51.13,7.67,18487.8,1561.14,10416.5,47.63,24.5
1561.0,1503.8,22.13,0.0,1192.15,51.32,7.68,18474.72,1561.14,10419.9,47.73,24.5
1561.1,1503.9,22.16,0.0,1192.18,51.5,7.68,18461.64,1561.14,10423.3,47.82,24.5
1561.2,1504.0,22.18,0.0,1192.19,51.59,7.68,18454.82,1561.14,10425.27,47.88,24.5
1561.3,1504.09,22.2,0.0,1192.19,51.59,7.68,18454.26,1561.15,10425.8,47.91,24.5
1561.4,1504.19,22.23,0.0,1192.19,51.58,7.68,18453.7,1561.16,10426.33,47.93,24.5
1561.5,1504.29,22.25,0.0,1192.19,51.58,7.68,18453.14,1561.16,10426.87,47.95,24.5
1561.6,1504.39,22.27,0.0,1192.19,51.58,7.68,18452.58,1561.17,10427.4,47.98,24.5
1561.7,1504.49,22.3,0.0,1192.19,51.58,7.68,18452.02,1561.18,10427.93,48.0,24.5
1561.8,1504.59,22.32,0.0,1192.19,51.57,7.68,18451.46,1561.18,10428.47,48.02,24.5
1561.9,1504.68,22.34,0.0,1192.19,51.57,7.68,18450.9,1561.19,10429.0,48.05,24.5
1562.0,1504.78,22.33,0.0,1192.16,51.47,7.67,18469.64,1561.32,10430.07,48.01,24.5
1562.1,1504.88,22.31,0.0,1192.13,51.36,7.65,18488.39,1561.44,10431.13,47.97,24.5
1562.2,1504.98,22.3,0.0,1192.09,51.25,7.64,18507.14,1561.57,10432.2,47.93,24.5
1562.3,1505.08,22.28,0.0,1192.06,51.15,7.63,18525.88,1561.69,10433.27,47.89,24.5
1562.4,1505.17,22.26,0.0,1192.03,51.04,7.61,18544.63,1561.82,10434.33,47.85,24.5
1562.5,1505.27,22.25,0.0,1192.0,50.94,7.6,18563.38,1561.94,10435.4,47.82,24.5
1562.6,1505.37,22.23,0.0,1191.97,50.83,7.59,18582.12,1562.07,10436.47,47.78,24.5
1562.7,1505.47,22.22,0.0,1191.94,50.75,7.58,18595.78,1562.17,10437.29,47.65,24.5
1562.8,1505.57,22.22,0.0,1191.92,50.69,7.57,18604.36,1562.24,10437.86,47.44,24.5
1562.9,1505.66,22.22,0.0,1191.9,50.63,7.56,18612.93,1562.31,10438.43,47.23,24.5
1563.0,1505.76,22.22,0.0,1191.87,50.57,7.56,18621.5,1562.38,10439.0,47.01,24.5
1563.1,1505.86,22.22,0.0,1191.85,50.51,7.55,18630.07,1562.46,10439.57,46.8,24.5
1563.2,1505.96,22.22,0.0,1191.83,50.45,7.54,18638.64,1562.53,10440.14,46.59,24.5
1563.3,1506.06,22.22,0.0,1191.81,50.39,7.54,18647.22,1562.6,10440.71,46.37,24.5
1563.4,1506.15,22.21,0.0,1191.79,50.33,7.53,18655.79,1562.67,10441.29,46.16,24.5
1563.5,1506.25,22.21,0.0,1191.76,50.27,7.52,18664.36,1562.75,10441.86,45.95,24.5
1563.6,1506.35,22.21,0.0,1191.74,50.21,7.52,18672.93,1562.82,10442.43,45.73,24.5
1563.7,1506.45,22.21,0.0,1191.72,50.15,7.51,18681.5,1562.89,10443.0,45.52,24.5
1563.8,1506.55,22.21,0.0,1191.77,50.08,7.51,18690.72,1563.0,10443.56,45.51,24.5
1563.9,1506.64,22.21,0.0,1191.82,50.01,7.5,18699.93,1563.1,10444.11,45.5,24.5
1564.0,1506.74,22.21,0.0,1191.88,49.95,7.5,18709.14,1563.21,10444.67,45.5,24.5
1564.1,1506.84,22.21,0.0,1191.93,49.88,7.5,18718.35,1563.31,10445.22,45.49,24.5
1564.2,1506.94,22.21,0.0,1191.98,49.82,7.5,18727.56,1563.42,10445.78,45.48,24.5
1564.3,1507.04,22.2,0.0,1192.03,49.75,7.49,18736.77,1563.52,10446.33,45.47,24.5
1564.4,1507.13,22.2,0.0,1192.09,49.68,7.49,18745.98,1563.63,10446.89,45.46,24.5
1564.5,1507.23,22.2,0.0,1192.14,49.62,7.49,18755.19,1563.73,10447.44,45.46,24.5
1564.6,1507.33,22.2,0.0,1192.19,49.55,7.48,18764.4,1563.84,10448.0,45.45,24.5
1564.7,1507.43,22.2,0.0,1192.21,49.49,7.48,18770.24,1564.01,10449.0,45.63,24.5
1564.8,1507.53,22.2,0.0,1192.22,49.42,7.48,18776.09,1564.18,10450.0,45.81,24.5
1564.9,1507.62,22.2,0.0,1192.24,49.36,7.47,18781.93,1564.35,10451.0,45.99,24.5
1565.0,1507.72,22.2,0.0,1192.26,49.3,7.47,18787.77,1564.52,10452.0,46.18,24.5
1565.1,1507.82,22.2,0.0,1192.28,49.23,7.46,18793.61,1564.69,10453.0,46.36,24.5
1565.2,1507.92,22.2,0.0,1192.29,49.17,7.46,18799.46,1564.86,10454.0,46.54,24.5
