MD,TVD,RPMA,WOBA,MFIA,HKLA,TQA,SPPA,DBTM,STKC,MFOA,ROPA
1636.0,1576.11,59.17,0.7,1014.76,55.51,6.32,18.2,1635.96,48944.0,29.4,4.42
1636.1,1576.2,59.77,0.86,1014.76,55.35,5.43,18.15,1636.07,48982.0,29.18,4.26
1636.2,1576.29,59.0,2.16,1014.64,54.05,5.21,18.16,1636.18,49016.0,29.31,4.26
1636.3,1576.39,60.23,3.48,1015.0,52.73,5.81,18.14,1636.27,49049.98,29.01,4.26
1636.4,1576.48,60.06,3.11,1014.64,53.1,5.49,18.13,1636.39,49098.99,28.87,4.26
1636.5,1576.58,58.95,3.07,1014.88,53.14,5.52,18.02,1636.51,49143.0,29.05,4.26
1636.6,1576.67,58.86,3.4,1014.76,52.81,5.73,17.94,1636.63,49180.0,28.86,4.26
1636.7,1576.77,59.89,5.53,1014.76,50.68,4.84,17.83,1636.72,49211.0,28.81,4.26
1636.8,1576.86,59.21,4.42,1015.12,51.79,5.98,17.5,1636.82,49325.95,28.79,4.26
1636.9,1576.95,80.43,1.12,1013.69,55.09,5.83,18.15,1636.96,50223.58,29.42,4.26
1637.0,1577.05,80.55,1.43,1013.45,54.78,5.98,18.11,1637.03,50273.0,29.22,6.56
1637.1,1577.14,79.98,1.6,1014.05,54.61,5.4,18.11,1637.14,50326.0,28.8,6.56
1637.2,1577.24,79.65,2.92,1013.45,53.29,5.63,18.15,1637.24,50372.0,28.93,6.56
1637.3,1577.33,80.31,3.43,1014.29,52.78,5.53,18.11,1637.35,50474.95,29.04,6.56
1637.4,1577.42,79.5,3.35,1013.93,52.86,5.08,18.09,1637.45,50656.95,28.75,6.56
1637.5,1577.52,80.27,3.78,1013.33,53.14,5.42,18.08,1637.56,50857.0,28.82,6.56
1637.6,1577.61,80.48,3.79,1013.57,53.13,5.13,18.09,1637.68,50994.0,29.28,6.56
1637.7,1577.71,80.34,4.13,1014.29,52.79,5.14,18.09,1637.78,51096.0,28.94,6.56
1637.8,1577.8,80.1,3.94,1013.45,52.97,5.0,18.09,1637.89,51292.89,29.03,6.56
1637.9,1577.9,80.8,3.77,1013.45,53.15,5.31,18.11,1638.0,51498.95,30.21,2.76
1638.0,1577.99,80.68,3.6,1013.81,53.32,5.25,18.1,1638.12,51686.0,29.31,2.76
1638.1,1578.08,80.23,3.94,1013.93,52.98,5.28,18.11,1638.22,51791.0,26.19,2.76
1638.2,1578.18,79.61,3.89,1013.69,53.03,5.0,18.09,1638.32,51988.0,27.09,2.76
1638.3,1578.27,80.66,4.22,1013.33,52.7,5.63,18.09,1638.44,52143.93,26.45,2.76
