MD,TVD,RPMA,WOBA,MFIA,HKLA,TQA,SPPA,DBTM,STKC,MFOA,ROPA
1935.4,1562.6,80.68,5.27,1807.5,78.47,15.09,10.28,1935.85,112117.99,37.84,23.39
1935.5,1562.68,80.46,5.3,1807.73,78.44,16.1,10.25,1935.97,112146.0,38.85,23.39
1935.6,1562.76,79.39,5.26,1807.61,78.47,14.62,10.24,1936.05,112164.0,38.95,24.68
1935.7,1562.84,79.68,5.29,1807.73,78.45,14.69,10.34,1936.16,112190.0,38.7,24.68
1935.8,1562.92,79.12,5.52,1807.73,78.21,14.05,10.29,1936.26,112213.99,38.98,24.68
1935.9,1563.0,80.52,5.3,1807.5,78.43,15.0,10.33,1936.36,112237.99,38.92,24.68
1936.0,1563.08,79.64,5.22,1807.73,78.52,16.34,10.19,1936.47,112266.0,39.45,24.68
1936.1,1563.16,79.5,5.23,1807.73,78.51,17.64,10.11,1936.58,112288.0,39.56,24.68
1936.2,1563.24,79.48,5.45,1807.5,78.28,15.63,10.05,1936.67,112310.0,39.43,24.68
1936.3,1563.32,80.35,5.63,1807.73,78.11,15.64,10.0,1936.72,112335.99,39.28,24.68
1936.4,1563.4,80.09,5.25,1807.73,78.48,14.77,9.99,1936.77,112360.0,39.43,24.68
1936.5,1563.48,80.72,5.05,1807.73,78.69,15.01,10.03,1936.88,112388.0,39.41,24.68
1936.6,1563.56,79.45,5.25,1807.73,78.49,15.56,10.01,1936.98,112410.0,39.31,24.68
1936.7,1563.64,77.78,5.41,1807.73,78.33,16.96,10.04,1937.07,112432.0,39.14,23.01
1936.8,1563.72,79.66,5.45,1807.61,78.29,15.75,10.09,1937.21,112465.98,38.98,23.01
1936.9,1563.8,79.09,5.04,1807.73,78.7,15.59,10.07,1937.41,112511.99,38.86,23.01
1937.0,1563.88,80.24,5.31,1807.61,78.43,15.78,10.08,1937.5,112534.0,39.05,23.01
1937.1,1563.96,78.87,5.31,1807.38,78.42,18.25,10.07,1937.6,112558.0,39.01,23.01
1937.2,1564.04,81.13,5.15,1807.73,78.59,14.24,10.15,1937.7,112581.0,38.98,23.01
1937.3,1564.12,79.73,5.13,1807.5,78.61,15.98,10.25,1937.79,112601.99,38.72,23.01
1937.4,1564.2,78.97,5.31,1807.61,78.43,15.8,10.22,1937.94,112633.99,38.85,23.01
1937.5,1564.28,79.32,5.14,1807.02,78.6,15.29,10.32,1938.04,112656.0,39.54,26.77
1937.6,1564.36,80.28,5.1,1807.14,78.64,14.98,10.36,1938.15,112681.0,39.56,26.77
1937.7,1564.44,80.44,4.91,1807.73,78.83,13.76,10.21,1938.25,112703.0,39.46,26.77
1937.8,1564.52,80.98,4.89,1807.73,78.85,14.67,10.15,1938.35,112722.99,39.43,26.77
1937.9,1564.6,79.37,5.13,1807.73,78.61,12.02,10.24,1938.48,112750.0,39.58,26.77
1938.0,1564.69,78.76,5.27,1807.73,78.46,16.5,10.17,1938.58,112770.0,39.52,26.77
1938.1,1564.77,79.78,5.43,1807.5,78.31,15.46,10.15,1938.68,112792.0,39.53,26.77
1938.2,1564.85,79.98,5.31,1807.38,78.42,18.73,10.11,1938.81,112819.0,39.83,26.77
1938.3,1564.93,80.91,5.84,1807.38,77.9,17.08,10.16,1938.87,112839.99,38.74,26.77
1938.4,1565.01,80.01,5.3,1807.5,78.44,15.39,10.17,1938.91,112858.0,39.76,26.77
1938.5,1565.09,79.51,4.77,1807.38,78.97,14.01,10.12,1939.0,112885.0,39.71,26.77
1938.6,1565.17,78.81,4.77,1807.14,78.97,14.41,10.1,1939.08,112902.0,39.67,25.28
1938.7,1565.25,79.59,4.83,1807.61,78.91,17.27,10.17,1939.2,112928.0,39.69,25.28
1938.8,1565.33,79.92,5.18,1807.73,78.56,15.3,10.36,1939.3,112949.98,39.44,25.28
1938.9,1565.41,79.32,5.34,1807.73,78.4,15.96,10.32,1939.42,112972.99,39.51,25.28
1939.0,1565.49,79.22,5.51,1807.5,78.23,15.77,10.31,1939.64,113019.0,40.32,25.28
1939.1,1565.57,79.67,5.54,1807.61,78.19,15.68,10.48,1939.71,113036.0,40.05,25.28
1939.2,1565.65,79.18,6.12,1807.5,77.62,13.93,11.27,1939.81,113063.0,38.97,25.28
1939.3,1565.73,79.82,6.65,1807.5,77.09,15.42,10.79,1939.81,113080.99,39.1,25.28
1939.4,1565.81,80.08,5.85,1807.61,77.89,14.78,10.41,1939.81,113098.0,39.51,25.28
1939.5,1565.89,80.03,4.94,1807.38,78.8,15.32,10.18,1939.82,113123.0,39.35,25.28
1939.6,1565.97,78.89,4.32,1807.85,79.41,14.75,10.14,1939.86,113145.0,39.39,25.28
1939.7,1566.05,80.14,4.32,1807.73,79.41,14.97,10.16,1939.93,113167.0,39.46,25.28
1939.8,1566.13,78.66,4.6,1807.5,79.13,15.23,10.17,1939.99,113187.99,38.62,25.28
1939.9,1566.21,79.62,4.84,1807.61,78.9,15.96,10.23,1940.4,113295.99,39.47,20.08
1940.0,1566.29,79.6,4.94,1807.14,78.79,17.05,10.23,1940.53,113327.0,39.41,20.08
1940.1,1566.37,79.23,4.99,1807.61,78.74,16.37,10.25,1940.63,113351.0,39.33,20.08
1940.2,1566.45,80.17,4.95,1807.73,78.79,14.48,10.27,1940.78,113385.0,39.2,20.08
1940.3,1566.53,79.59,4.98,1807.5,78.76,16.87,10.27,1940.87,113406.99,39.11,20.08
1940.4,1566.61,79.67,5.14,1807.73,78.6,15.04,10.27,1940.99,113435.99,39.22,20.08
1940.5,1566.69,79.42,5.13,1807.73,78.61,15.95,10.2,1941.08,113458.0,39.31,24.27
1940.6,1566.77,79.43,5.22,1807.5,78.52,17.94,10.25,1941.19,113483.0,38.1,24.27
1940.7,1566.85,80.31,5.14,1807.14,78.6,14.96,10.34,1941.29,113509.0,39.0,24.27
1940.8,1566.93,80.07,5.11,1807.73,78.63,16.05,10.29,1941.39,113530.99,39.32,24.27
1940.9,1567.01,79.09,5.07,1807.61,78.66,15.29,10.19,1941.5,113556.99,38.97,24.27
1941.0,1567.09,79.88,5.08,1807.38,78.66,15.34,10.19,1941.6,113579.0,39.08,24.27
1941.1,1567.17,77.94,5.02,1807.73,78.71,17.56,10.17,1941.7,113605.0,39.72,24.27
1941.2,1567.26,79.76,4.97,1807.5,78.76,16.14,10.12,1941.8,113629.0,39.46,24.27
1941.3,1567.34,81.59,5.18,1807.73,78.56,16.06,10.16,1941.89,113648.99,39.45,24.27
1941.4,1567.42,78.99,5.12,1807.5,78.62,15.51,10.23,1942.02,113680.99,39.12,26.0
1941.5,1567.5,79.11,5.17,1807.73,78.57,17.21,10.19,1942.11,113703.0,38.72,26.0
1941.6,1567.58,79.1,5.1,1807.73,78.64,16.37,10.19,1942.22,113727.0,38.15,26.0
1941.7,1567.66,79.64,5.03,1807.73,78.71,16.72,10.17,1942.31,113751.0,38.78,26.0
1941.8,1567.74,80.4,4.96,1807.38,78.77,14.37,10.24,1942.4,113770.99,38.52,26.0
1941.9,1567.82,78.8,4.98,1807.61,78.76,15.69,10.14,1942.52,113798.99,38.42,26.0
1942.0,1567.9,78.97,5.18,1807.73,78.56,14.69,10.19,1942.63,113825.0,38.6,26.0
1942.1,1567.98,79.36,5.07,1807.02,78.66,15.54,10.26,1942.73,113849.0,38.83,26.0
1942.2,1568.06,80.04,5.22,1807.5,78.51,12.28,10.32,1942.85,113875.0,39.41,26.0
1942.3,1568.14,79.75,5.3,1807.5,78.43,13.89,10.28,1942.94,113894.99,39.59,26.0
1942.4,1568.22,79.66,5.24,1807.61,78.5,13.67,10.31,1943.07,113923.0,39.37,26.16
1942.5,1568.3,79.02,5.42,1807.61,78.32,13.19,10.32,1943.16,113943.0,39.28,26.16
1942.6,1568.38,79.02,5.42,1807.73,78.32,16.25,10.42,1943.28,113971.0,39.21,26.16
1942.7,1568.46,80.16,5.4,1807.73,78.34,15.75,10.45,1943.37,113993.0,39.24,26.16
1942.8,1568.54,79.25,5.44,1807.5,78.3,16.1,10.41,1943.46,114012.99,39.29,26.16
1942.9,1568.62,78.97,5.36,1807.73,78.38,16.71,10.38,1943.56,114035.99,38.64,26.16
1943.0,1568.7,78.85,5.29,1807.73,78.45,14.54,10.45,1943.66,114061.0,39.15,26.16
1943.1,1568.78,80.53,5.36,1807.73,78.38,16.55,10.41,1943.74,114080.0,39.14,26.16
