,train_depth,train_true,train_pre,train_depth,test_true,test_pre
105,1079.751,38.84,5.2633786,379.452,59.18,5.2425284
106,1078.676,55.84,5.252656,377.327,59.16,5.2412686
107,1054.151,63.32,5.2526736,375.227,55.48,5.2659783
108,987.601,53.85,5.390767,373.677,55.26,5.2650948
109,980.426,79.27,5.2709813,371.302,54.79,5.2147975
110,979.001,51.91,5.580762,368.802,62.81,5.150502
111,977.551,73.07,5.33892,365.902,60.61,5.2348366
112,965.026,98.5,5.286947,363.152,68.42,5.158285
113,948.526,90.16,5.3401957,361.027,68.1,5.15749
114,944.676,88.12,5.357773,358.702,70.28,5.1490674
115,927.051,85.65,5.3841543,356.252,59.2,5.31525
116,916.401,70.91,5.508294,354.502,11.2,5.528647
117,904.801,20.99,5.7900615,352.402,47.4,5.432671
118,903.101,19.02,5.78784,350.252,51.01,5.381229
119,901.976,21.72,5.8329263,347.927,46.91,5.443777
120,901.126,21.72,5.8536677,345.527,49.42,5.201391
121,900.126,20.44,5.8448577,344.077,49.32,5.192437
122,899.301,21.18,5.285106,342.427,50.15,5.167741
123,898.376,15.92,5.46642,340.652,57.6,5.1615615
124,897.476,24.73,5.2585154,338.227,40.49,5.399316
125,892.351,74.72,5.2511945,336.352,37.16,5.441072
126,890.826,26.88,5.837761,334.552,33.49,5.525273
127,889.701,26.76,5.847704,332.877,33.29,5.544272
128,1338.076,32.0,5.2844515,625.827,45.19,5.2244225
129,1337.001,34.86,5.2842293,624.102,44.58,5.24229
130,1335.801,35.83,5.2958817,622.177,41.8,5.2865677
131,1334.701,37.73,5.3167,620.402,46.1,5.239655
132,1333.526,35.34,5.3260756,618.202,43.55,5.2623153
133,1332.451,36.28,5.3362093,616.452,38.7,5.345857
134,1212.326,37.93,5.3102593,615.052,43.8,5.2645965
135,1207.926,30.11,5.453007,610.377,47.81,5.23173
136,1206.776,29.92,5.4405007,608.227,41.3,5.3287888
137,1205.826,29.74,5.440572,606.552,42.32,5.3241735
138,1204.876,26.28,5.541551,604.827,43.67,5.2907486
139,1203.951,25.01,5.445847,603.302,46.92,5.2385416
140,1202.876,26.44,5.37524,601.452,44.79,5.245175
141,1201.901,22.97,5.446563,600.077,43.84,5.262384
142,1200.801,55.37,5.2815213,598.477,29.02,5.548465
143,1199.401,54.04,5.294149,595.577,22.68,5.6895084
144,1198.301,55.4,5.2785444,592.827,55.02,5.305633
145,1197.251,55.55,5.2787337,591.077,50.08,5.377867
146,1196.051,55.22,5.2831945,588.552,56.89,5.2868657
147,1194.951,56.56,5.2855644,586.127,63.23,5.213018
148,1193.726,57.35,5.2815323,583.852,57.22,5.300876
149,1192.376,55.75,5.3047876,581.977,57.03,5.3070564
150,1191.076,57.89,5.285816,579.827,60.37,5.2703776
151,1189.626,50.59,5.3821616,577.577,49.59,5.3926597
152,1188.226,71.09,5.2921205,575.902,46.55,5.4326296
153,1186.726,68.23,5.3137584,573.627,55.45,5.300405
154,1185.251,58.76,5.4196935,571.627,59.5,5.25733
155,1183.976,65.424995,5.3488617,569.952,61.2,5.234623
156,1182.476,66.69,5.3301015,567.627,33.68,5.625773
157,1181.201,69.85,5.2925715,565.652,44.02,5.4318914
158,1179.976,47.27,5.54815,555.852,16.37,5.7967834
159,1178.801,41.11,5.6378493,553.752,65.69,5.1760035
160,1177.601,38.27,5.680633,551.377,57.94,5.2821813
161,1176.201,24.88,5.847531,548.502,52.22,5.357419
162,1175.401,20.8,5.7780275,546.502,55.88,5.3124046
163,1174.426,19.83,5.743592,543.977,60.52,5.260515
164,1173.626,21.6,5.6904964,541.002,57.95,5.2741795
165,1172.626,22.55,5.637389,539.327,45.96,5.434137
166,1171.776,21.59,5.29843,537.452,39.31,5.5410256
167,1170.826,19.34,5.37177,535.527,9.57,5.608882
168,1169.951,19.56,5.3737583,534.152,40.37,5.493745
169,1169.026,19.56,5.369115,532.477,48.26,5.2931795
170,1168.126,20.5,5.2976284,530.677,50.78,5.202444
171,1167.201,21.21,5.274524,528.302,50.58,5.2078648
172,1165.351,16.53,5.4413958,526.227,48.48,5.229132
173,1164.326,23.08,5.2627544,524.002,50.14,5.2496243
174,1162.876,48.74,5.26079,521.752,51.61,5.267489
175,1161.476,46.08,5.301537,519.602,43.95,5.397533
176,1160.376,47.64,5.2753835,515.277,9.48,5.6571074
177,1159.176,47.09,5.3012595,512.752,58.29,5.1921334
178,1158.076,42.68,5.3641996,510.527,58.26,5.1763678
179,1156.801,45.61,5.3244834,508.077,55.46,5.207111
180,1155.601,48.92,5.2870774,505.177,61.56,5.135052
181,1154.476,39.15,5.4393277,502.852,60.99,5.204468
182,1153.401,36.51,5.4817333,499.552,64.68,5.170315
183,1152.176,34.02,5.532556,497.127,57.56,5.257489
184,1151.076,35.22,5.5211353,495.602,52.86,5.305269
185,1150.151,34.45,5.5252714,493.852,51.5,5.3202972
186,1148.951,32.95,5.346504,492.077,54.95,5.3028874
187,1147.876,39.89,5.235806,489.802,59.68,5.213432
188,1146.526,37.74,5.3058577,487.327,61.0,5.224172
189,1145.451,36.79,5.314004,484.977,65.59,5.1740065
190,1144.226,31.68,5.456971,482.852,68.76,5.1618514
191,1143.151,33.55,5.4003744,479.902,68.76,5.182754
192,1142.076,37.91,5.2881756,477.702,70.83,5.191001
193,1140.751,37.8,5.2894244,474.952,65.56,5.1810865
194,1139.576,34.74,5.3448653,472.977,61.39,5.2336507
195,1138.251,13.14,5.8433065,470.402,61.96,5.2304707
196,1137.351,45.54,5.2538867,468.052,56.61,5.299804
197,1136.126,38.05,5.3909845,465.477,66.82,5.162769
198,1134.901,26.86,5.641399,462.527,73.42,5.204705
199,1133.876,26.08,5.6645637,459.327,66.92,5.2774224
200,1132.951,25.81,5.681155,457.552,64.61,5.3193583
201,1131.876,27.44,5.5159054,455.227,63.24,5.2999887
202,1130.951,25.99,5.3157253,453.027,59.22,5.338579
203,1129.876,26.28,5.2984204,451.052,61.52,5.3010845
204,1128.826,26.13,5.3041544,448.777,62.26,5.2875648
205,1127.801,29.74,5.249294,446.502,65.79,5.2372384
206,1126.726,32.84,5.253178,443.927,85.12,5.193558
207,1125.451,23.61,5.483166,441.502,81.25,5.2452836
208,1123.426,17.88,5.673833,438.752,87.37,5.195144
209,1122.251,29.65,5.3464565,436.802,75.5,5.2951546
210,1121.201,25.35,5.4669576,434.777,59.38,5.4091315
211,1118.376,28.62,5.3535275,432.652,63.66,5.363488
212,1117.351,20.41,5.535029,430.377,61.63,5.3861365
213,1116.426,20.42,5.5300994,426.852,58.42,5.4269314
214,1115.476,27.6,5.312667,424.352,63.89,5.2532225
215,1114.326,30.0,5.275068,421.777,77.64,5.1920047
216,1113.251,28.15,5.319346,419.327,82.09,5.1645327
217,1112.351,29.54,5.292445,416.952,75.81,5.225615
218,1111.451,30.49,5.2878766,414.152,53.02,5.468037
219,1110.251,26.25,5.373269,412.327,54.44,5.439423
220,1109.376,13.38,5.771508,410.827,44.86,5.5710917
221,1108.401,21.46,5.4923167,408.577,82.47,5.1599855
222,1092.701,68.96,5.478815,406.127,81.76,5.164201
223,1091.251,62.36,5.561046,403.452,70.71,5.2755513
224,1090.001,46.23,5.751823,401.002,78.04,5.1971984
225,1088.576,25.82,5.8549294,398.827,81.64,5.1966414
226,1087.426,28.06,5.858202,395.852,55.12,5.4514437
227,1086.301,30.7,5.8325386,392.977,61.23,5.3575125
228,1085.426,35.72,5.7858167,391.052,63.2,5.334123
229,1084.226,24.46,5.858856,388.702,63.17,5.331587
230,1082.201,14.71,5.8095827,386.177,54.98,5.337806
231,1081.251,9.31,5.839442,384.027,66.4,5.127717
232,1080.501,27.7,5.456939,381.952,62.65,5.2027836
233,1079.726,38.84,5.266914,379.302,59.18,5.2446055
234,1078.576,55.84,5.2549624,377.152,59.16,5.2432194
235,1054.026,63.32,5.25468,375.202,55.48,5.268276
236,987.551,53.85,5.3932977,373.527,55.26,5.267143
237,980.376,79.27,5.2726707,371.077,54.79,5.217179
238,978.976,51.91,5.582931,368.752,62.81,5.1526895
239,977.476,73.07,5.3405776,365.802,60.61,5.236932
240,964.976,98.5,5.2883253,363.002,68.42,5.159542
241,948.426,90.16,5.341673,360.952,69.16,5.1510634
242,944.551,88.12,5.358962,358.627,70.28,5.15043
243,927.026,85.65,5.385612,356.102,59.2,5.3173237
244,916.376,70.91,5.509969,354.477,11.2,5.5324445
245,904.776,20.99,5.7919564,352.202,47.4,5.4352417
246,902.976,19.02,5.7906394,350.177,51.01,5.38385
247,901.951,21.72,5.835882,347.602,46.91,5.4464393
248,901.051,21.72,5.8570724,345.477,49.42,5.2035666
249,900.101,20.44,5.8488507,344.002,49.32,5.195012
250,899.251,21.18,5.290901,342.327,50.15,5.1706414
251,898.351,15.92,5.4748507,340.602,57.6,5.1640058
252,897.451,24.73,5.2636795,338.152,40.49,5.401415
253,892.301,74.72,5.2526093,336.077,37.16,5.4438415
254,890.776,26.88,5.840112,334.502,33.49,5.529096
255,889.626,26.76,5.8503895,332.827,33.29,5.5477347
256,1338.051,32.0,5.283151,625.752,45.19,5.2236753
257,1336.976,34.86,5.282958,624.077,44.58,5.2406425
258,1335.776,35.83,5.2951174,622.077,41.8,5.284395
259,1334.651,37.73,5.315652,620.352,46.1,5.2389255
260,1333.476,35.34,5.3246727,618.077,43.55,5.261711
261,1332.426,36.28,5.335109,616.402,38.7,5.3445153
262,1212.201,37.93,5.3092785,613.927,38.49,5.349756
263,1207.901,30.11,5.4506984,610.352,47.81,5.231041
264,1206.751,29.92,5.4390755,608.102,41.3,5.3280206
265,1205.776,29.74,5.4395514,606.502,42.32,5.322317
266,1204.851,26.28,5.540778,604.702,43.67,5.290388
267,1203.876,25.01,5.445082,603.252,46.92,5.2381687
268,1202.851,26.44,5.3738346,601.402,44.79,5.244338
269,1201.826,22.97,5.4441338,600.027,43.84,5.261844
270,1200.751,55.37,5.279935,598.452,29.02,5.5466733
271,1199.376,54.04,5.293375,595.452,22.68,5.6873927
272,1198.276,55.4,5.277834,592.752,55.02,5.3049645
273,1197.176,55.55,5.278014,590.977,50.08,5.377097
274,1196.026,55.22,5.282429,588.452,56.89,5.286194
275,1194.801,56.56,5.2848735,586.002,63.23,5.212509
276,1193.626,57.35,5.2808046,583.827,57.22,5.299679
277,1192.226,55.75,5.3041015,581.927,54.4,5.337831
278,1191.001,57.89,5.2851677,579.752,60.37,5.26995
279,1189.601,50.59,5.3809505,577.427,49.59,5.3919816
280,1188.126,71.09,5.2915854,575.827,46.55,5.431927
281,1186.676,68.23,5.3131223,573.477,55.45,5.299703
282,1185.201,58.76,5.418486,571.602,59.5,5.256705
283,1183.876,67.96,5.3213754,569.802,61.2,5.2339907
284,1182.451,66.69,5.329461,567.552,33.68,5.623763
285,1181.101,69.85,5.292037,565.502,44.02,5.4311385
286,1179.901,41.95,5.6239705,555.802,16.37,5.7951684
287,1178.776,41.11,5.6367154,553.452,65.69,5.1756406
288,1177.576,38.27,5.6798987,551.227,57.94,5.2815332
289,1176.101,24.88,5.8458014,548.277,52.22,5.3567166
290,1175.301,20.8,5.7750163,546.352,55.88,5.3118587
291,1174.401,19.83,5.741566,543.952,62.87,5.231446
292,1173.501,21.6,5.688501,540.977,57.95,5.2735085
293,1172.601,22.55,5.6383367,539.077,45.96,5.433013
294,1171.676,21.59,5.2965684,537.402,39.31,5.5396934
295,1170.726,19.34,5.370018,535.502,9.57,5.605047
296,1169.901,19.56,5.37219,534.127,40.37,5.4925265
297,1169.001,19.56,5.367366,532.402,48.26,5.2924075
